Species,Complete,CompleteSingleCopy,CompleteDup,Fragmented,Missing,BuscoScore
Cabingdonii,6615,4776,1839,335,530,0.929
Amarmorata,NA,NA,NA,NA,NA,NA
Camboinensis,NA,NA,NA,NA,NA,NA
Cinsculpta,NA,NA,NA,NA,NA,NA
Cmccordii,NA,NA,NA,NA,NA,NA
Cmydas,7448,3493,3955,12,20,0.997
Cpicta,7378,3872,3506,68,34,0.995
Cserpentina,NA,NA,NA,NA,NA,NA
Dcoriacea,7394,3793,3601,26,60,0.992
Dmawii,NA,NA,NA,NA,NA,NA
Esubglobosa,NA,NA,NA,NA,NA,NA
Gevgoodei,7430,4254,3176,12,38,0.995
Lkempii,5416,4472,944,823,1241,0.834
Mmutica,7456,4259,3197,4,20,0.997
Mreevesii,7451,3671,3780,6,23,0.997
Mterrapin,NA,NA,NA,NA,NA,NA
Mtuberculata,NA,NA,NA,NA,NA,NA
Pcastaneus,NA,NA,NA,NA,NA,NA
Pexpansa,NA,NA,NA,NA,NA,NA
Pmegacephalum,6607,6528,79,215,658,0.912
Psinensis,7265,4074,3191,85,130,0.982
Rswinhoei,NA,NA,NA,NA,NA,NA
Tscripta,7273,4446,2827,72,135,0.982

		

