feature	length
gene	891
gene	8207
gene	139404
gene	172353
gene	32667
gene	94638
gene	189466
gene	39555
gene	38340
gene	18883
gene	249796
gene	2616
gene	13526
gene	248841
gene	28620
gene	61243
gene	19059
gene	36562
gene	54888
gene	57127
gene	53114
gene	36979
gene	555249
gene	310514
gene	4369
gene	32061
gene	17871
gene	180629
gene	5802
gene	469960
gene	267047
gene	14849
gene	175825
gene	167436
gene	186386
gene	10863
gene	20096
gene	77375
gene	20555
gene	51970
gene	17427
gene	202632
gene	4362
gene	5637
gene	60031
gene	10903
gene	60304
gene	6797
gene	23664
gene	11765
gene	53035
gene	6106
gene	25559
gene	5437
gene	14365
gene	99801
gene	6662
gene	16598
gene	45754
gene	8891
gene	14728
gene	9474
gene	40468
gene	1576
gene	70229
gene	38098
gene	4052
gene	11407
gene	232513
gene	7826
gene	24759
gene	5273
gene	118369
gene	2137
gene	24484
gene	2049
gene	37177
gene	6362
gene	30022
gene	3333
gene	29491
gene	37661
gene	20488
gene	181913
gene	1677
gene	4387
gene	756648
gene	3444
gene	741
gene	2852
gene	1146
gene	25390
gene	3367
gene	4035
gene	1916
gene	190958
gene	34407
gene	24210
gene	2063
gene	5224
gene	12441
gene	654
gene	348555
gene	5863
gene	5029
gene	3954
gene	13502
gene	2867
gene	167782
gene	18538
gene	16252
gene	2151
gene	19470
gene	3503
gene	5508
gene	5494
gene	2339
gene	11192
gene	24506
gene	9305
gene	3129
gene	1416
gene	1379
gene	40940
gene	40618
gene	4299
gene	24416
gene	8916
gene	164621
gene	118618
gene	74440
gene	166711
gene	906
gene	5118
gene	39225
gene	16382
gene	42748
gene	74807
gene	945
gene	25366
gene	25482
gene	11006
gene	3803
gene	10152
gene	83798
gene	27370
gene	46247
gene	152361
gene	282684
gene	2031
gene	61509
gene	58234
gene	7364
gene	68213
gene	28197
gene	663
gene	14355
gene	13480
gene	113772
gene	807046
gene	146025
gene	30505
gene	50932
gene	35044
gene	27784
gene	26677
gene	98892
gene	14361
gene	31400
gene	4473
gene	5179
gene	390164
gene	4134
gene	22187
gene	39205
gene	67553
gene	1872
gene	658800
gene	142820
gene	18108
gene	175018
gene	40589
gene	243952
gene	639795
gene	50341
gene	2526
gene	205671
gene	278739
gene	82492
gene	203172
gene	220693
gene	317649
gene	8428
gene	226908
gene	214421
gene	11552
gene	603
gene	80343
gene	80504
gene	96914
gene	47713
gene	164859
gene	392440
gene	157497
gene	79509
gene	40121
gene	18555
gene	33886
gene	48645
gene	63810
gene	19625
gene	162888
gene	14008
gene	41554
gene	419942
gene	101187
gene	131609
gene	87505
gene	26867
gene	23943
gene	144049
gene	17768
gene	21776
gene	104187
gene	16447
gene	20201
gene	10951
gene	31656
gene	141204
gene	102347
gene	155136
gene	177
gene	57665
gene	74971
gene	50252
gene	43734
gene	6614
gene	37700
gene	348
gene	18239
gene	373735
gene	76663
gene	34268
gene	69717
gene	3694
gene	210661
gene	2004
gene	187838
gene	142449
gene	149590
gene	150913
gene	6385
gene	96630
gene	17886
gene	59801
gene	666
gene	793811
gene	60585
gene	66396
gene	204674
gene	111519
gene	107832
gene	21910
gene	179508
gene	482161
gene	26199
gene	323747
gene	21268
gene	282444
gene	71387
gene	39843
gene	82558
gene	74202
gene	7211
gene	63765
gene	12585
gene	5186
gene	49270
gene	17802
gene	76088
gene	57387
gene	39433
gene	89754
gene	17003
gene	53942
gene	9371
gene	98906
gene	1966
gene	2517
gene	275965
gene	36813
gene	1314
gene	14168
gene	173975
gene	29710
gene	720
gene	367365
gene	31838
gene	57995
gene	57261
gene	399918
gene	8694
gene	26237
gene	26757
gene	23983
gene	68623
gene	333132
gene	13361
gene	102372
gene	3219
gene	46271
gene	841699
gene	543
gene	22513
gene	16084
gene	3755
gene	6257
gene	294046
gene	11495
gene	34083
gene	7265
gene	297029
gene	39249
gene	1730
gene	19122
gene	283542
gene	38792
gene	10015
gene	25000
gene	8016
gene	28648
gene	42747
gene	59087
gene	173310
gene	1914
gene	7392
gene	19126
gene	12295
gene	147994
gene	1953
gene	39671
gene	29665
gene	4087
gene	3216
gene	63250
gene	24300
gene	90190
gene	39139
gene	105701
gene	64108
gene	433747
gene	5723
gene	14196
gene	19845
gene	53097
gene	201677
gene	8063
gene	132865
gene	689206
gene	12981
gene	252492
gene	96333
gene	32041
gene	22650
gene	11544
gene	6772
gene	138296
gene	97027
gene	8956
gene	53544
gene	29559
gene	12252
gene	49396
gene	75434
gene	13016
gene	123172
gene	20745
gene	4170
gene	42914
gene	13977
gene	69440
gene	29674
gene	85835
gene	19815
gene	126631
gene	361099
gene	197912
gene	234465
gene	66108
gene	8468
gene	58256
gene	31457
gene	26566
gene	10579
gene	15059
gene	101879
gene	390591
gene	5116
gene	4758
gene	90040
gene	19175
gene	226486
gene	165693
gene	7591
gene	10599
gene	120454
gene	28637
gene	1602
gene	1260
gene	1861
gene	20496
gene	12464
gene	7754
gene	20002
gene	5729
gene	10051
gene	80070
gene	18071
gene	9453
gene	1916
gene	79661
gene	639
gene	53125
gene	3385
gene	63525
gene	195351
gene	13552
gene	17926
gene	33673
gene	2510
