feature	length
gene	433357
gene	2553
gene	195588
gene	8892
gene	147782
gene	543859
gene	41446
gene	54727
gene	8661
gene	39982
gene	17875
gene	94785
gene	133637
gene	30517
gene	145302
gene	117491
gene	11037
gene	53483
gene	406468
gene	21057
gene	10291
gene	52839
gene	478911
gene	157808
gene	42850
gene	369654
gene	1185
gene	302510
gene	64983
gene	83858
gene	179857
gene	62258
gene	55608
gene	158233
gene	8500
gene	86059
gene	109634
gene	40839
gene	26755
gene	42654
gene	22611
gene	27127
gene	20397
gene	97094
gene	425971
gene	8961
gene	18867
gene	219505
gene	29963
gene	83810
gene	185363
gene	34778
gene	17847
gene	19663
gene	9233
gene	98067
gene	272972
gene	55425
gene	2965
gene	206949
gene	1196859
gene	35545
gene	9719
gene	6493
gene	6200
gene	35374
gene	27538
gene	28032
gene	1239
gene	53058
gene	784
gene	178649
gene	53582
gene	90415
gene	186
gene	316723
gene	654
gene	1017
gene	6760
gene	565730
gene	7840
gene	21843
gene	6308
gene	116697
gene	35472
gene	22525
gene	17692
gene	14714
gene	56990
gene	28006
gene	34999
gene	622
gene	38340
gene	115975
gene	13863
gene	15243
gene	93894
gene	34114
gene	87782
gene	72818
gene	22988
gene	2151
gene	29993
gene	19701
gene	185251
gene	30032
gene	25591
gene	83856
gene	41203
gene	29056
gene	77999
gene	12760
gene	17274
gene	9707
gene	40705
gene	12975
gene	43125
gene	19760
gene	68971
gene	51373
gene	15899
gene	5901
gene	51299
gene	20707
gene	18871
gene	13450
gene	167505
gene	18723
gene	818234
gene	50538
gene	176691
gene	33583
gene	173402
gene	54710
gene	810
gene	204861
gene	437547
gene	44457
gene	3982
gene	396247
gene	204708
gene	814425
gene	381
gene	94962
gene	153502
gene	37861
gene	25504
gene	31613
gene	3983
gene	31312
gene	67751
gene	107108
gene	11711
gene	81338
gene	2406
gene	381
gene	118104
gene	12915
gene	40579
gene	6372
gene	7688
gene	177730
gene	13955
gene	11006
gene	41075
gene	24127
gene	446
gene	9010
gene	9078
gene	27615
gene	168321
gene	19425
gene	162503
gene	93543
gene	16739
gene	292007
gene	21003
gene	23624
gene	34010
gene	29859
gene	15863
gene	87740
gene	75862
gene	8593
gene	27292
gene	16694
gene	16730
gene	378881
gene	631805
gene	12805
gene	381
gene	84248
gene	13303
gene	19310
gene	8687
gene	12554
gene	29556
gene	13587
gene	32949
gene	172471
gene	62160
gene	20969
gene	6960
gene	44886
gene	11068
gene	188932
gene	138879
gene	78850
gene	150396
gene	10787
gene	708464
gene	2412
gene	7954
gene	80104
gene	120478
gene	595
gene	56779
gene	378346
gene	247397
gene	53552
gene	16739
gene	1986
gene	14112
gene	60046
gene	90897
gene	44202
gene	13368
gene	51096
gene	3230
gene	8068
gene	9943
gene	389471
gene	166925
gene	9469
gene	203018
gene	43120
gene	90444
gene	20602
gene	34087
gene	405
gene	59058
gene	2574
gene	83575
gene	29031
gene	11631
gene	168966
gene	1302
gene	15474
gene	21362
gene	6931
gene	13237
gene	50013
gene	17122
gene	7866
gene	244468
gene	7532
gene	66805
gene	11511
gene	32611
gene	399910
gene	27658
gene	679120
gene	73950
gene	42807
gene	51425
gene	27147
gene	410
gene	43828
gene	3301
gene	10606
gene	22090
gene	24032
gene	20846
gene	10436
gene	669
gene	1113
gene	61229
gene	2897
gene	60864
gene	28547
gene	92085
gene	132122
gene	548797
gene	69295
gene	2522
gene	72823
gene	12149
gene	164082
gene	15778
gene	30770
gene	34514
gene	2469
gene	82276
gene	20603
gene	84201
gene	13567
gene	95765
gene	6960
gene	1369
gene	6786
gene	15018
gene	8073
gene	61840
gene	61088
gene	6640
gene	21426
gene	39841
gene	32026
gene	17390
gene	104290
gene	8887
gene	261132
gene	16532
gene	2380
gene	33025
gene	22261
gene	118370
gene	678
gene	9933
gene	2170
gene	31304
gene	20063
gene	312
gene	3507
gene	1305
gene	230175
gene	192253
gene	7159
gene	16816
gene	82245
gene	69999
gene	1143
gene	21179
gene	17795
gene	854
gene	19172
gene	54689
gene	36486
gene	18290
gene	11596
gene	50469
gene	25418
gene	68637
gene	107529
gene	3030
gene	13733
gene	125580
gene	11865
gene	28094
gene	363487
gene	78613
gene	535349
gene	33999
gene	35467
gene	44464
gene	22237
gene	2863
gene	45855
gene	32284
gene	8851
gene	390
gene	11445
gene	86915
gene	186036
gene	741
gene	18568
gene	9815
