feature	length
gene	144328
gene	13303
gene	112404
gene	225076
gene	241249
gene	276570
gene	35405
gene	29520
gene	231352
gene	21986
gene	162749
gene	31825
gene	90391
gene	12686
gene	361313
gene	329915
gene	14219
gene	181405
gene	15788
gene	112602
gene	9300
gene	1026
gene	167670
gene	15363
gene	81982
gene	150350
gene	630679
gene	73673
gene	238743
gene	840
gene	38729
gene	12493
gene	143872
gene	105297
gene	963
gene	46750
gene	108333
gene	50111
gene	257368
gene	932
gene	5436
gene	45682
gene	186586
gene	9238
gene	22224
gene	31030
gene	126645
gene	88937
gene	14462
gene	16532
gene	16465
gene	27016
gene	43830
gene	118749
gene	690
gene	97988
gene	64987
gene	879
gene	51221
gene	85712
gene	64942
gene	15158
gene	2176
gene	7471
gene	62747
gene	315258
gene	350512
gene	58698
gene	36027
gene	107738
gene	24515
gene	15325
gene	26579
gene	79974
gene	26557
gene	23975
gene	35755
gene	21792
gene	15479
gene	11330
gene	43749
gene	58474
gene	19797
gene	122485
gene	69921
gene	10014
gene	12592
gene	52218
gene	46684
gene	7011
gene	264078
gene	69490
gene	123900
gene	132438
gene	13877
gene	42786
gene	576
gene	302578
gene	6706
gene	48374
gene	7319
gene	13062
gene	116255
gene	28122
gene	41757
gene	2259
gene	42341
gene	14472
gene	933
gene	39504
gene	120447
gene	32562
gene	1029
gene	15833
gene	8644
gene	109206
gene	32526
gene	41726
gene	11314
gene	73271
gene	85257
gene	134997
gene	58354
gene	176709
gene	66109
gene	606
gene	45742
gene	4895
gene	7487
gene	22467
gene	31783
gene	2477
gene	501
gene	25440
gene	116435
gene	10580
gene	3351
gene	13962
gene	7754
gene	49201
gene	118054
gene	3295
gene	85196
gene	836
gene	14938
gene	266456
gene	527654
gene	71804
gene	4349
gene	113921
gene	51076
gene	1101
gene	3245
gene	49249
gene	17452
gene	20646
gene	8403
gene	73953
gene	3103
gene	34079
gene	1574
gene	89917
gene	74076
gene	9619
gene	4196
gene	12871
gene	12482
gene	54679
gene	41127
gene	3379
gene	14523
gene	864
gene	137955
gene	8835
gene	87342
gene	13100
gene	21120
gene	35663
gene	1875
gene	49013
gene	101210
gene	9186
gene	56060
gene	891
gene	204346
gene	39290
gene	44547
gene	138613
gene	14616
gene	78408
gene	48097
gene	3594
gene	1044
gene	2217
gene	62728
gene	10789
gene	27385
gene	3394
gene	16308
gene	27910
gene	54643
gene	8060
gene	21810
gene	59352
gene	15319
gene	4023
gene	18456
gene	11183
gene	135741
gene	906
gene	27874
gene	74511
gene	8050
gene	219204
gene	9023
gene	9294
gene	11082
gene	49921
gene	27302
gene	16474
gene	9074
gene	723
gene	22420
gene	27860
gene	20843
gene	10595
gene	20565
gene	329804
gene	19395
gene	268982
gene	119779
gene	12796
gene	38040
gene	10411
gene	14790
gene	47819
gene	15467
gene	25805
gene	2785
gene	2160
gene	29633
gene	72470
gene	5524
gene	10457
gene	93746
gene	49067
gene	276188
gene	75387
gene	4949
gene	41664
gene	6725
gene	21052
gene	7610
gene	10108
gene	1416
gene	30704
gene	28330
gene	1071
gene	1592
gene	19646
gene	3997
gene	32463
gene	1310
gene	102843
gene	1284
gene	21119
gene	2425
gene	98670
gene	144848
gene	16185
gene	83435
gene	12780
gene	5317
gene	97879
gene	13698
gene	32100
gene	11724
gene	2863
gene	8711
gene	8493
gene	11637
gene	16974
gene	136260
gene	136336
gene	11272
gene	30362
gene	30136
gene	439505
gene	296396
gene	84356
gene	130152
gene	386515
gene	27598
gene	113311
gene	23241
gene	32443
gene	17834
gene	176718
gene	12514
gene	4396
gene	226593
gene	192121
gene	102447
gene	57599
gene	8425
gene	154162
gene	45907
gene	37957
gene	116589
gene	11532
gene	125914
gene	146826
gene	103143
gene	217337
gene	11449
gene	49103
gene	25810
gene	16938
gene	39690
gene	110678
gene	28884
gene	109989
gene	13433
gene	41774
gene	236940
gene	26074
gene	1926
gene	1293
gene	158078
gene	71064
gene	350921
gene	18971
gene	29374
gene	154568
gene	447
gene	70892
gene	34294
gene	49978
gene	212830
gene	15259
gene	223535
gene	10261
gene	14014
gene	101886
gene	12896
gene	314260
gene	107655
gene	43338
gene	58574
gene	141638
gene	10573
gene	57934
gene	35151
gene	85346
gene	5140
gene	118561
gene	993
gene	101795
gene	53775
gene	41312
gene	55131
gene	26455
gene	29490
gene	22493
gene	84723
gene	17333
gene	4383
gene	58214
gene	50762
gene	27896
gene	114353
gene	62837
gene	20407
gene	18623
gene	28211
gene	80445
gene	43836
gene	1963
gene	59271
gene	60012
gene	14528
gene	109036
gene	61123
gene	113789
gene	158306
gene	75583
gene	56641
gene	61862
gene	84837
gene	44537
gene	86562
gene	19967
gene	22500
gene	2229
gene	123431
gene	119889
gene	53075
gene	921
gene	3199
gene	7753
gene	102247
gene	36875
gene	15389
gene	34556
gene	8322
gene	767
gene	85390
gene	25657
gene	6446
gene	11532
gene	624
gene	27708
gene	108610
gene	18438
gene	157487
gene	1281
gene	52221
gene	23934
gene	55193
gene	117751
gene	103457
gene	193313
gene	194881
gene	18698
gene	82387
gene	114615
gene	209718
gene	67724
gene	18240
gene	63031
gene	16602
gene	152456
gene	6232
gene	9270
gene	68421
gene	48778
gene	23229
gene	82913
gene	747
gene	5197
gene	1140
gene	16067
gene	66764
gene	564
gene	30097
gene	24672
gene	209030
gene	177205
gene	5613
gene	59404
gene	1368
gene	26161
gene	5253
gene	5728
gene	104365
gene	353591
gene	23111
gene	39736
gene	130479
gene	1892
gene	16582
gene	11669
gene	95784
gene	3223
gene	73312
gene	76591
gene	124023
gene	24312
gene	10154
gene	95149
gene	101688
gene	67166
gene	103561
gene	322546
gene	1155
gene	97444
gene	10416
gene	37002
gene	600
gene	272843
gene	570
gene	121916
gene	34193
gene	79287
gene	7773
gene	12623
gene	6589
gene	708
gene	15445
gene	20892
gene	312029
gene	747
gene	169012
gene	177470
gene	35679
gene	3715
gene	1386
gene	297944
gene	118779
gene	20081
gene	1054
gene	5722
gene	22873
gene	86071
gene	15125
gene	14450
gene	270768
gene	11670
gene	152361
gene	17133
gene	2375
