feature	length
gene	69194
gene	130750
gene	24677
gene	3236
gene	11370
gene	6955
gene	35969
gene	3877
gene	20722
gene	13018
gene	35967
gene	11560
gene	36655
gene	7424
gene	15269
gene	9930
gene	29454
gene	2175
gene	3627
gene	947
gene	953
gene	953
gene	953
gene	947
gene	947
gene	947
gene	962
gene	947
gene	1652
gene	953
gene	947
gene	947
gene	923
gene	611
gene	947
gene	941
gene	569
gene	953
gene	6062
gene	7710
gene	947
gene	953
gene	947
gene	953
gene	947
gene	953
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	893
gene	944
gene	947
gene	947
gene	947
gene	947
gene	947
gene	2243
gene	1171
gene	947
gene	1028
gene	947
gene	947
gene	933
gene	947
gene	947
gene	947
gene	947
gene	4655
gene	941
gene	946
gene	974
gene	974
gene	947
gene	2442
gene	947
gene	992
gene	950
gene	821
gene	1028
gene	947
gene	950
gene	947
gene	950
gene	2878
gene	3775
gene	947
gene	947
gene	953
gene	953
gene	947
gene	947
gene	953
gene	947
gene	953
gene	947
gene	953
gene	947
gene	947
gene	947
gene	10794
gene	947
gene	947
gene	947
gene	1019
gene	1007
gene	947
gene	924
gene	947
gene	1787
gene	947
gene	947
gene	938
gene	1118
gene	938
gene	944
gene	985
gene	1587
gene	947
gene	947
gene	947
gene	941
gene	941
gene	1120
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	947
gene	932
gene	1028
gene	947
gene	1028
gene	947
gene	20435
gene	81
gene	2106
gene	2258
gene	2080
gene	16904
gene	9211
gene	6244
gene	1862
gene	9765
gene	914
gene	2146
gene	965
gene	1028
gene	1848
gene	956
gene	4803
gene	1508
gene	1832
gene	971
gene	11167
gene	1089
gene	944
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	1865
gene	938
gene	929
gene	953
gene	938
gene	971
gene	938
gene	12582
gene	938
gene	971
gene	938
gene	947
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	971
gene	1965
gene	938
gene	956
gene	929
gene	2973
gene	971
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	935
gene	938
gene	1009
gene	938
gene	1890
gene	938
gene	938
gene	947
gene	938
gene	3678
gene	20276
gene	938
gene	938
gene	6515
gene	938
gene	1665
gene	13591
gene	938
gene	1486
gene	6077
gene	938
gene	938
gene	956
gene	4974
gene	93
gene	90
gene	94
gene	3811
gene	938
gene	988
gene	935
gene	956
gene	935
gene	956
gene	935
gene	956
gene	965
gene	965
gene	971
gene	1859
gene	1899
gene	1928
gene	935
gene	933
gene	2726
gene	1880
gene	1859
gene	974
gene	1843
gene	1709
gene	1667
gene	938
gene	935
gene	1737
gene	935
gene	1915
gene	938
gene	938
gene	938
gene	956
gene	938
gene	938
gene	938
gene	938
gene	938
gene	938
gene	935
gene	935
gene	1217
gene	935
gene	935
gene	935
gene	935
gene	935
gene	2006
gene	935
gene	1875
gene	935
gene	935
gene	935
gene	869
gene	938
gene	4497
gene	950
gene	1921
gene	968
gene	947
gene	947
gene	935
gene	935
gene	932
gene	8183
gene	935
gene	935
gene	935
gene	935
gene	2711
gene	935
gene	935
gene	935
gene	1021
gene	935
gene	968
gene	1959
gene	1097
gene	950
gene	935
gene	935
gene	629
gene	935
gene	935
gene	935
gene	935
gene	944
gene	935
gene	935
gene	944
gene	935
gene	934
gene	935
gene	966
gene	1739
gene	935
gene	7597
gene	971
gene	938
gene	1230
gene	1089
gene	949
gene	962
gene	962
gene	962
gene	1329
gene	938
gene	4426
gene	962
gene	962
gene	962
gene	1637
gene	974
gene	962
gene	926
gene	947
gene	22723
gene	42420
gene	181806
gene	26596
gene	42854
gene	59772
gene	6127
gene	938
gene	947
gene	947
gene	947
gene	947
gene	947
gene	938
gene	938
gene	947
gene	947
gene	947
gene	947
gene	10294
gene	21732
gene	17400
gene	7138
gene	18348
gene	7733
gene	18304
gene	21913
gene	37640
gene	11858
gene	60110
gene	13395
gene	26065
gene	6895
gene	3099
gene	4592
gene	7124
gene	1759
gene	40195
gene	6440
gene	76211
gene	9653
gene	142594
gene	48151
gene	208710
gene	361433
gene	56400
gene	179790
gene	15377
gene	1117
gene	120687
gene	170831
gene	146124
gene	1043
gene	971
gene	101003
gene	3205
gene	71121
gene	19201
gene	3745
gene	28630
gene	5249
gene	38725
gene	60214
gene	49980
gene	51101
gene	15836
gene	6984
gene	23484
gene	7837
gene	34849
gene	42442
gene	87971
gene	14522
gene	11186
gene	16822
gene	24721
gene	2863
gene	17389
gene	99897
gene	39194
gene	365219
gene	9417
gene	79989
gene	237012
gene	31535
gene	37315
gene	231414
gene	30481
gene	10293
gene	150
gene	147
gene	10107
gene	336217
gene	26967
gene	74049
gene	46519
gene	38733
gene	147985
gene	31347
gene	71
gene	71
gene	19252
