feature	length
gene	47949
gene	98612
gene	10053
gene	4102
gene	27235
gene	20063
gene	13144
gene	12227
gene	85653
gene	37679
gene	32740
gene	8827
gene	2676
gene	13784
gene	52638
gene	19331
gene	133834
gene	3637
gene	131272
gene	214572
gene	3712
gene	141509
gene	3099
gene	152034
gene	1952
gene	2358
gene	70452
gene	129006
gene	2924
gene	480976
gene	16354
gene	111756
gene	379619
gene	54969
gene	32284
gene	132533
gene	303
gene	22888
gene	30316
gene	27291
gene	212280
gene	5799
gene	1916
gene	208348
gene	12111
gene	63878
gene	7666
gene	1486
gene	110783
gene	10267
gene	78573
gene	33010
gene	22868
gene	100259
gene	52289
gene	89477
gene	1646
gene	4970
gene	146355
gene	106254
gene	34327
gene	8661
gene	13433
gene	46257
gene	3336
gene	44008
gene	14155
gene	569
gene	104596
gene	266
gene	10294
gene	14489
gene	181749
gene	287472
gene	1895
gene	4419
gene	16156
gene	19456
gene	76558
gene	127474
gene	266742
gene	65159
gene	43448
gene	1172
gene	7299
gene	22708
gene	19611
gene	67409
gene	97630
gene	30682
gene	71509
gene	27594
gene	14141
gene	45773
gene	128899
gene	386989
gene	94956
gene	33012
gene	38250
gene	10356
gene	73958
gene	14703
gene	47907
gene	233961
gene	62406
gene	4330
gene	14694
gene	19349
gene	62489
gene	31680
gene	1406
gene	17251
gene	39079
gene	407
gene	56370
gene	54612
gene	38090
gene	30206
gene	30082
gene	230573
gene	70992
gene	99893
gene	34552
gene	2053
gene	91168
gene	11364
gene	149442
gene	10738
gene	426020
gene	76521
gene	539
gene	284327
gene	4539
gene	17092
gene	21186
gene	55473
gene	82503
gene	14049
gene	4787
gene	4038
gene	2431
gene	29866
gene	10574
gene	34244
gene	23314
gene	37415
gene	55695
gene	46783
gene	20285
gene	32290
gene	11848
gene	150729
gene	20447
gene	212
gene	28747
gene	4491
gene	8073
gene	22492
gene	11509
gene	14266
gene	3426
gene	81153
gene	107212
gene	66098
gene	49458
gene	169652
gene	50940
gene	20251
gene	41345
gene	3444
gene	11300
gene	26597
gene	34831
gene	310303
gene	91699
gene	60060
gene	17220
gene	3316
gene	17140
gene	32415
gene	5684
gene	18796
gene	25933
gene	10224
gene	773
gene	34934
gene	186661
gene	203703
gene	46148
gene	31451
gene	78699
gene	35922
gene	10811
gene	67002
gene	30749
gene	15696
gene	3385
gene	23596
gene	27806
gene	1276
gene	32432
gene	101717
gene	77750
gene	39787
gene	34344
gene	120279
gene	37250
gene	49105
gene	8389
gene	5777
gene	16915
gene	2003
gene	55184
gene	25563
gene	503
gene	58708
gene	7429
gene	323080
gene	66003
gene	83465
gene	881
gene	29342
gene	211860
gene	455250
gene	45537
gene	41324
gene	95606
gene	34187
gene	33920
gene	159852
gene	23201
gene	27068
gene	9153
gene	4248
gene	49760
gene	10152
gene	81619
gene	6975
gene	165517
gene	15930
gene	18731
gene	17850
gene	48938
gene	17102
gene	117500
gene	23850
gene	168852
gene	18405
gene	25291
gene	12601
gene	20106
gene	965
gene	76796
gene	12741
gene	1346
gene	1109
gene	1226
gene	27783
gene	14251
gene	1867
gene	13802
gene	1094
gene	929
gene	26142
gene	67554
gene	2186
gene	142385
gene	40336
gene	8545
gene	20862
gene	74577
gene	126575
gene	99236
gene	47858
gene	204209
gene	52417
gene	69863
gene	57566
gene	1115
gene	44028
gene	3277
gene	31970
gene	5951
gene	32599
gene	40929
gene	23751
gene	34036
gene	31622
gene	16439
gene	107305
gene	40660
gene	2988
gene	869
gene	39014
gene	53308
gene	75317
gene	74985
gene	4988
gene	74839
gene	1178
gene	251
gene	98547
gene	779
gene	25705
gene	23805
gene	43755
gene	145566
gene	26551
gene	7730
gene	15192
gene	101528
gene	29867
gene	269322
gene	5353
gene	5589
gene	136886
gene	32840
gene	30982
gene	137512
gene	773
gene	4883
gene	17020
gene	50401
gene	71892
gene	1361
gene	63833
gene	57876
gene	29893
gene	64434
gene	39174
gene	244454
gene	8524
gene	6044
gene	53098
gene	1877
gene	24992
gene	31720
gene	180042
gene	1028
gene	131969
gene	926
gene	188884
gene	4460
gene	28543
gene	69633
gene	34895
gene	42094
gene	49787
gene	5038
gene	20622
gene	84765
gene	10498
gene	9342
gene	5839
gene	1322
gene	7953
gene	118962
gene	37842
gene	79320
gene	118801
gene	92547
gene	120840
gene	74017
gene	1041
gene	32241
gene	5591
gene	6279
gene	45474
gene	30389
gene	28567
gene	25314
gene	35064
gene	83762
gene	16521
gene	18052
gene	49656
gene	88099
gene	87856
gene	206482
gene	14743
gene	17697
gene	98446
gene	209718
gene	24756
gene	160628
gene	50358
gene	57965
gene	21955
gene	43146
gene	60102
gene	7617
gene	323
gene	10619
gene	17322
gene	44337
gene	350391
gene	805398
gene	1079
gene	76023
gene	16323
gene	207924
gene	91703
gene	266950
gene	38996
gene	6447
gene	4692
gene	73741
gene	2817
gene	331212
gene	1743
gene	96839
gene	29662
gene	29846
gene	8040
gene	25619
gene	10914
gene	21392
gene	8973
gene	50035
gene	75508
gene	23332
gene	65426
gene	20487
gene	13978
gene	152087
gene	118640
gene	79236
gene	5010
gene	5842
gene	1346
gene	22898
gene	37674
gene	4142
gene	10234
gene	3741
gene	4409
gene	65205
gene	2125
gene	65774
gene	152007
gene	12580
gene	648890
gene	5230
gene	55360
gene	32320
gene	1889
gene	27685
gene	28302
gene	13831
gene	43747
gene	3564
gene	36278
gene	5186
gene	7515
gene	99820
gene	8920
gene	14468
gene	5244
gene	6675
gene	3649
gene	7191
gene	4773
gene	19477
gene	11612
gene	21404
gene	4916
gene	20914
gene	18319
gene	75185
gene	10510
gene	941
gene	1665
gene	947
gene	66701
gene	9481
gene	959
gene	7997
gene	32206
gene	956
gene	233
gene	26591
gene	251000
gene	75504
gene	314
gene	23091
gene	1217
gene	4153
gene	64176
gene	52697
gene	44523
gene	15291
gene	21350
gene	92472
gene	212935
gene	141093
gene	20662
gene	1670
gene	2728
gene	17795
gene	7316
gene	34525
gene	61155
gene	4501
gene	25809
gene	26939
gene	128620
gene	152286
gene	2961
gene	1138
gene	4901
gene	3465
gene	243534
gene	64992
gene	41694
gene	105641
gene	31933
gene	207456
gene	107680
gene	32787
gene	88361
gene	53248
gene	3206
gene	2569
gene	29341
gene	104555
gene	70962
gene	95531
gene	20024
gene	1575
gene	11862
gene	77759
gene	6754
gene	45090
gene	48308
gene	4778
gene	25822
gene	127032
gene	49815
gene	210693
gene	2622
gene	10764
gene	7949
gene	49879
gene	4539
gene	17154
gene	5755
gene	15386
gene	28548
gene	9349
gene	75333
gene	63814
gene	14615
gene	463519
gene	638
gene	84490
gene	44179
gene	53879
gene	53884
gene	32103
gene	137003
gene	169670
gene	53665
gene	255198
gene	208604
gene	5247
gene	1443
gene	106300
gene	26746
gene	39909
gene	4395
gene	23141
gene	4261
gene	36238
gene	3200
gene	2692
gene	61392
gene	197185
gene	27313
gene	23114
gene	32476
gene	525493
gene	15278
gene	3728
gene	13731
gene	83827
gene	135435
gene	15164
gene	20422
gene	119063
gene	2625
gene	51984
gene	14630
