feature	length
gene	94226
gene	24787
gene	74414
gene	22874
gene	147092
gene	39220
gene	10031
gene	4308
gene	208985
gene	12739
gene	17327
gene	30484
gene	31418
gene	597
gene	22061
gene	42773
gene	135526
gene	40318
gene	70338
gene	87497
gene	9551
gene	61290
gene	60174
gene	13473
gene	1224
gene	25944
gene	112646
gene	98444
gene	48064
gene	16432
gene	7007
gene	19724
gene	43974
gene	97428
gene	34326
gene	74880
gene	204830
gene	129511
gene	18244
gene	61870
gene	16365
gene	24526
gene	13881
gene	13877
gene	33584
gene	30218
gene	38588
gene	164920
gene	32461
gene	112511
gene	105766
gene	26322
gene	16834
gene	193656
gene	15652
gene	3039
gene	13925
gene	1170835
gene	50684
gene	157172
gene	88822
gene	352308
gene	13860
gene	32183
gene	59453
gene	105925
gene	10427
gene	108547
gene	130368
gene	107459
gene	61616
gene	23227
gene	68004
gene	26421
gene	29335
gene	14279
gene	13560
gene	23740
gene	242122
gene	17742
gene	1149
gene	19569
gene	41171
gene	24590
gene	20793
gene	40543
gene	31267
gene	26911
gene	10404
gene	248170
gene	22034
gene	39940
gene	10543
gene	21380
gene	7972
gene	9070
gene	23574
gene	21989
gene	7557
gene	159624
gene	170875
gene	2071
gene	25099
gene	2830
gene	14287
gene	16270
gene	246854
gene	1852
gene	24529
gene	53435
gene	1158
gene	29192
gene	6671
gene	5286
gene	86923
gene	22195
gene	37875
gene	1101
gene	67898
gene	36054
gene	217926
gene	957
gene	24407
gene	30209
gene	17548
gene	44383
gene	9233
gene	79312
gene	128309
gene	11165
gene	48767
gene	3313
gene	253345
gene	64977
gene	86594
gene	4931
gene	104634
gene	6843
gene	6766
gene	11380
gene	27468
gene	1451
gene	37917
gene	29065
gene	14063
gene	517752
gene	11971
gene	32228
gene	19797
gene	60124
gene	5470
gene	105828
gene	20556
gene	268318
gene	2038
gene	549
gene	2189
gene	192392
gene	15632
gene	50813
gene	546
gene	166436
gene	34825
gene	133016
gene	5783
gene	45829
gene	13396
gene	30340
gene	12435
gene	10980
gene	24130
gene	455355
gene	96523
gene	10038
gene	216519
gene	8553
gene	11727
gene	6114
gene	12219
gene	17924
gene	140151
gene	20294
gene	13107
gene	41468
gene	10978
gene	45698
gene	17452
gene	35320
gene	30386
gene	1101
gene	18934
gene	85112
gene	66043
gene	10822
gene	42984
gene	13802
gene	32690
gene	4230
gene	2724
gene	57691
gene	9933
gene	4799
gene	144523
gene	3010
gene	14932
gene	7158
gene	60909
gene	37667
gene	95724
gene	40368
gene	42633
gene	3490
gene	16917
gene	49999
gene	43595
gene	4294
gene	8950
gene	14260
gene	17866
gene	945
gene	62160
gene	15204
gene	42744
gene	82319
gene	21529
gene	17909
gene	80048
gene	194570
gene	40135
gene	16238
gene	17200
gene	48405
gene	2222
gene	25477
gene	8798
gene	85095
gene	24202
gene	1512
gene	550489
gene	12316
gene	561532
gene	2485
gene	1119
gene	115543
gene	30924
gene	159489
gene	2619
gene	87198
gene	35827
gene	1974
gene	80291
gene	19955
gene	4837
gene	11194
gene	13778
gene	9697
gene	86887
gene	36547
gene	23597
gene	1285
gene	2908
gene	2186
gene	97160
gene	23877
gene	48601
gene	18058
gene	18822
gene	6729
gene	643
gene	4572
gene	3768
gene	25044
gene	10515
gene	8670
gene	7393
gene	24163
gene	9913
gene	24746
gene	91430
gene	18001
gene	636
gene	7866
gene	3150
gene	121466
gene	27174
gene	40641
gene	15633
gene	209445
gene	628729
gene	40532
gene	106677
gene	24886
gene	352259
gene	14628
gene	48105
gene	6292
gene	8398
gene	1678
gene	81277
gene	22759
gene	17328
gene	21876
gene	13030
gene	5506
gene	97145
gene	2609
gene	11783
gene	448404
gene	28134
gene	65686
gene	104835
gene	1546
gene	4686
gene	2799
gene	92961
gene	111022
gene	57099
gene	10652
gene	333
gene	11987
gene	2960
gene	6603
gene	26887
gene	22509
gene	132487
gene	37251
gene	46757
gene	38335
gene	12796
gene	54575
gene	19636
gene	3307
gene	28258
gene	83004
gene	6837
gene	5438
gene	27478
gene	4119
gene	10236
gene	6734
gene	17230
gene	14845
gene	24554
gene	38683
gene	8488
gene	54991
gene	15032
gene	6121
gene	4293
gene	3836
gene	17979
gene	157075
gene	20964
gene	52058
gene	1202
gene	270
gene	42956
gene	269610
gene	3743
gene	149687
gene	5786
gene	8628
gene	154764
gene	10560
gene	53099
gene	3531
gene	35544
gene	6803
gene	20879
gene	9750
gene	2088
gene	951
gene	1498
gene	6161
gene	10317
gene	9014
gene	10154
gene	16752
gene	13461
gene	53148
gene	17497
gene	28477
gene	2368
gene	48467
gene	2049
gene	6432
gene	2341
gene	3640
gene	2594
gene	7663
gene	24674
gene	3160
gene	41261
gene	1610
gene	61133
gene	30791
gene	36152
gene	3248
gene	143024
gene	22591
gene	9763
gene	28984
gene	31263
gene	8852
gene	7111
gene	136024
gene	7625
gene	3837
gene	11468
gene	19839
gene	8859
gene	5421
gene	76284
gene	22477
gene	47446
gene	85835
gene	2784
gene	85056
gene	34477
gene	99182
gene	29513
gene	578682
gene	25354
gene	36673
gene	29621
gene	438226
gene	82673
gene	20339
gene	1953
gene	33176
gene	3620
gene	285751
gene	191109
gene	100185
gene	9830
gene	52905
gene	9216
gene	4125
gene	248277
gene	24379
gene	5629
gene	66295
gene	47708
gene	4598
gene	12244
gene	3677
gene	37489
gene	40624
gene	10094
gene	1413704
gene	53910
gene	213348
gene	63159
gene	354192
gene	13835
gene	27771
gene	43637
gene	16575
gene	90430
gene	45599
gene	52802
gene	7243
gene	18385
gene	100295
gene	15337
gene	98404
gene	28367
gene	10418
gene	2476
gene	23086
gene	6765
gene	67485
gene	38640
gene	125239
gene	6770
gene	13107
gene	31108
gene	22534
gene	8503
gene	8952
gene	42532
gene	15071
gene	33645
gene	277002
gene	22555
gene	155988
gene	19770
gene	19864
gene	111134
gene	385720
gene	56660
gene	8881
gene	19165
gene	9368
gene	236514
gene	34507
gene	32259
gene	25401
gene	35058
gene	165495
gene	76098
gene	1384
gene	13076
gene	13033
gene	72426
gene	42271
gene	59461
gene	5695
gene	18650
gene	23447
gene	3337
gene	14295
gene	23302
gene	271013
gene	35568
gene	35933
gene	68314
gene	41275
gene	78933
gene	9740
gene	30314
gene	23330
gene	25435
gene	21724
gene	138528
gene	11072
gene	70297
gene	17039
gene	262047
gene	128639
gene	23104
gene	4875
gene	48558
gene	42539
gene	639
gene	32769
gene	16297
gene	15727
gene	10484
gene	7300
gene	31814
gene	42040
gene	32533
gene	1272
gene	8223
