feature	length
gene	8155
gene	1893
gene	14954
gene	33858
gene	262442
gene	112366
gene	50598
gene	122638
gene	40026
gene	102413
gene	13344
gene	2102
gene	20639
gene	201652
gene	173600
gene	14260
gene	63358
gene	51482
gene	24512
gene	4492
gene	5675
gene	2251
gene	240208
gene	33468
gene	43703
gene	8435
gene	19817
gene	5962
gene	12974
gene	103518
gene	29530
gene	34251
gene	94889
gene	15307
gene	160721
gene	93260
gene	149262
gene	20008
gene	107832
gene	12579
gene	654496
gene	39204
gene	147334
gene	5780
gene	26991
gene	14635
gene	6426
gene	19044
gene	16420
gene	12771
gene	8066
gene	1846
gene	556080
gene	459293
gene	95468
gene	44444
gene	6473
gene	23652
gene	8503
gene	7679
gene	14233
gene	19418
gene	5078
gene	101372
gene	62789
gene	3376
gene	4269
gene	7602
gene	4826
gene	24959
gene	8632
gene	12025
gene	28909
gene	17836
gene	25581
gene	25569
gene	12305
gene	37946
gene	699
gene	3905
gene	70914
gene	7423
gene	53244
gene	53270
gene	60125
gene	8451
gene	1242
gene	72961
gene	1997
gene	62532
gene	11229
gene	12780
gene	3586
gene	109416
gene	173857
gene	1683
gene	8677
gene	236606
gene	58744
gene	266237
gene	11755
gene	5382
gene	47032
gene	12810
gene	499
gene	91269
gene	7666
gene	720
gene	9149
gene	77423
gene	2709
gene	8795
gene	17834
gene	49255
gene	27291
gene	14142
gene	15013
gene	12734
gene	10691
gene	6589
gene	3102
gene	6667
gene	11816
gene	2901
gene	21676
gene	36720
gene	6104
gene	18008
gene	92212
gene	148483
gene	40103
gene	93
gene	21255
gene	9782
gene	1147
gene	18475
gene	4260
gene	15093
gene	344990
gene	10516
gene	22226
gene	5123
gene	187234
gene	147343
gene	17240
gene	1235
gene	19686
gene	59210
gene	1965
gene	14954
gene	117712
gene	4680
gene	1257
gene	18008
gene	490347
gene	1947
gene	20030
gene	23893
gene	35597
gene	85118
gene	7521
gene	1191
gene	25893
gene	6126
gene	48277
gene	6282
gene	11102
gene	72284
gene	55999
gene	2877
gene	5501
gene	52267
gene	126860
gene	12357
gene	205995
gene	6150
gene	53952
gene	14718
gene	5125
gene	144996
gene	16718
gene	1737
gene	18501
gene	90017
gene	6512
gene	682
gene	16834
gene	13629
gene	12265
gene	6241
gene	16532
gene	1590
gene	26576
gene	3893
gene	46533
gene	38943
gene	12745
gene	12033
gene	2433
gene	924
gene	29607
gene	223964
gene	16311
gene	9654
gene	978
gene	4510
gene	861
gene	2149
gene	2775
gene	9201
gene	27639
gene	44960
gene	1986
gene	4424
gene	978
gene	19052
gene	2705
gene	1197
gene	4590
gene	87217
gene	4356
gene	8176
gene	2681
gene	3263
gene	10015
gene	103
gene	24942
gene	4162
gene	2401
gene	18144
gene	6193
gene	23248
gene	9326
gene	6831
gene	104122
gene	19051
gene	9945
gene	4085
gene	5501
gene	6623
gene	29740
gene	46307
gene	5740
gene	425
gene	1398
gene	14274
gene	161355
gene	20536
gene	4307
gene	10839
gene	1440
gene	1952
gene	4744
gene	22567
gene	17310
gene	20483
gene	8794
gene	5475
gene	6123
gene	8605
gene	4240
gene	1194
gene	2091
gene	255985
gene	36640
gene	29980
gene	3192
gene	9739
gene	38359
gene	403
gene	24725
gene	1104
gene	35564
gene	14782
gene	32315
gene	1143
gene	75500
gene	305664
gene	7480
gene	417419
gene	125060
gene	38065
gene	13268
gene	65723
gene	6506
gene	48593
gene	28824
gene	46810
gene	26417
gene	94813
gene	9914
gene	35680
gene	45969
gene	21665
gene	894
gene	12285
gene	47268
gene	155141
gene	37472
gene	16271
gene	1242
gene	480656
gene	25446
gene	232636
gene	62645
gene	80806
gene	3200
gene	29719
gene	33734
gene	61249
gene	66341
gene	11654
gene	163262
gene	22494
gene	95487
gene	10307
gene	21252
gene	190957
gene	2633
gene	94546
gene	4971
gene	234520
gene	18989
gene	44997
gene	32983
gene	12271
gene	1200
gene	24676
gene	10442
gene	20440
gene	17108
gene	22720
gene	228938
gene	46200
gene	190746
gene	35559
gene	3514
gene	120204
gene	33490
gene	32067
gene	128219
gene	18504
gene	71979
gene	35210
gene	7395
gene	31660
gene	23240
gene	14086
gene	69305
gene	6467
gene	42245
gene	14839
gene	9228
gene	244256
gene	56902
gene	5789
gene	63691
gene	124369
gene	24142
gene	254488
gene	4872
gene	11058
gene	8440
gene	32632
gene	45487
gene	663
gene	1086
gene	94675
gene	21051
gene	321942
gene	121932
gene	9716
gene	29956
gene	7861
gene	21516
gene	45558
gene	9195
gene	25720
gene	35766
gene	5473
gene	19118
gene	12571
gene	100284
gene	238194
gene	24753
gene	122045
gene	27681
gene	20032
gene	21233
gene	43410
gene	191518
gene	254710
gene	4988
gene	17522
gene	37125
gene	7224
gene	166536
gene	33156
gene	26078
gene	53873
gene	68912
gene	20495
gene	29527
gene	9021
gene	2574
gene	7989
gene	53042
gene	4654
gene	13673
gene	34980
gene	22995
gene	6287
gene	6018
gene	33504
gene	20365
gene	33508
gene	54695
gene	52803
gene	8765
gene	564
gene	46549
gene	27296
gene	46820
gene	5018
gene	2627
gene	19190
gene	44313
gene	9338
gene	44850
gene	115706
gene	187684
gene	273519
gene	9350
gene	6957
gene	20800
gene	4107
gene	94977
gene	20712
gene	74069
gene	297497
gene	38974
gene	303530
gene	1113
gene	23146
gene	2132
gene	58489
gene	9125
gene	43900
gene	7692
gene	6827
gene	13124
gene	130121
gene	10459
gene	43358
gene	523
gene	25557
gene	31837
gene	32065
gene	18871
gene	9050
gene	7984
gene	18812
gene	4630
gene	59224
gene	39618
gene	5265
gene	750
gene	7242
gene	3499
gene	2068
gene	10142
gene	11271
gene	5826
gene	13600
gene	38651
gene	43756
gene	3342
gene	9396
gene	38128
gene	22385
gene	4273
gene	5966
gene	1837
gene	6622
gene	16687
gene	164294
gene	20343
gene	3529
gene	47372
gene	7894
gene	4011
gene	87936
gene	90522
gene	187332
gene	16012
gene	1269
gene	10962
gene	3728
gene	125555
gene	2622
gene	35176
gene	9959
gene	42967
gene	25332
gene	44571
gene	7348
gene	12390
gene	24305
gene	4965
gene	9139
gene	3425
gene	134376
gene	1410
gene	72974
gene	28225
gene	34152
gene	5371
gene	9356
gene	212967
gene	5553
gene	279769
gene	52058
gene	3051
gene	50358
gene	225839
gene	63482
gene	97032
gene	180143
gene	47362
gene	288144
gene	40656
gene	20603
gene	70148
gene	92851
gene	77955
gene	141546
gene	61833
gene	13190
gene	15626
gene	11398
gene	4335
gene	12996
gene	8978
gene	77302
gene	1074
gene	14296
gene	28894
gene	26595
gene	14672
gene	14496
gene	141323
gene	80484
gene	22950
gene	27425
gene	16160
gene	21295
gene	23226
gene	121068
gene	124051
gene	43238
gene	248695
gene	19285
gene	77467
gene	2122
gene	41889
gene	52746
gene	13984
gene	5139
gene	17563
gene	5235
gene	10778
gene	109962
gene	53368
gene	321359
gene	132374
gene	11806
gene	35919
gene	66771
gene	52119
gene	13178
gene	29342
gene	28866
gene	166202
gene	18420
gene	16606
gene	1970
gene	62542
gene	164095
gene	1893
gene	4076
