feature	length
gene	78489
gene	38202
gene	7782
gene	57500
gene	313658
gene	90263
gene	116233
gene	91309
gene	88634
gene	36323
gene	142929
gene	89739
gene	298092
gene	24015
gene	226728
gene	52834
gene	14978
gene	133596
gene	9257
gene	90180
gene	1196
gene	57743
gene	51501
gene	45559
gene	37336
gene	35155
gene	253389
gene	7934
gene	67771
gene	11600
gene	11199
gene	19668
gene	17482
gene	15779
gene	51709
gene	73987
gene	10456
gene	55814
gene	7277
gene	16637
gene	455
gene	26952
gene	76958
gene	14553
gene	212285
gene	212
gene	1974
gene	81465
gene	121763
gene	8851
gene	145475
gene	61410
gene	58225
gene	44640
gene	55345
gene	23453
gene	276014
gene	60808
gene	178674
gene	196143
gene	83017
gene	21095
gene	15024
gene	168365
gene	35983
gene	108441
gene	7772
gene	3348
gene	20760
gene	235844
gene	40246
gene	75610
gene	385498
gene	24256
gene	63122
gene	604449
gene	8221
gene	15021
gene	371605
gene	446374
gene	80431
gene	72906
gene	30024
gene	118911
gene	40760
gene	68727
gene	44490
gene	122141
gene	46098
gene	24922
gene	158856
gene	29074
gene	138630
gene	3973
gene	17992
gene	2508
gene	88578
gene	97615
gene	311050
gene	1514
gene	251
gene	363485
gene	11434
gene	3475
gene	40484
gene	2801
gene	85376
gene	345679
gene	23447
gene	47906
gene	34067
gene	6814
gene	62881
gene	4604
gene	61256
gene	30610
gene	34449
gene	18109
gene	11015
gene	4374
gene	171960
gene	1486
gene	4798
gene	7568
gene	44589
gene	33529
gene	536293
gene	3759
gene	669316
gene	50407
gene	92510
gene	351355
gene	10968
gene	247896
gene	10718
gene	38916
gene	263
gene	62642
gene	29891
gene	25424
gene	135130
gene	282176
gene	17586
gene	14730
gene	153861
gene	69772
gene	49651
gene	7917
gene	8165
gene	29266
gene	308909
gene	93028
gene	6292
gene	9759
gene	81588
gene	31345
gene	16605
gene	87202
gene	322596
gene	116799
gene	80643
gene	19177
gene	72541
gene	11193
gene	695
gene	64733
gene	37931
gene	165494
gene	45143
gene	76444
gene	72008
gene	37794
gene	29432
gene	93442
gene	11991
gene	30538
gene	27085
gene	20694
gene	80654
gene	7622
gene	15568
gene	1709
gene	15179
gene	21028
gene	89245
gene	6810
gene	465228
gene	175562
gene	70474
gene	5401
gene	7976
gene	11680
gene	8970
gene	30209
gene	104252
gene	6025
gene	10425
gene	33069
gene	51725
gene	73640
gene	5286
gene	162953
gene	26157
gene	14799
gene	19777
gene	32737
gene	124740
gene	3575
gene	182465
gene	23867
gene	28313
gene	165715
gene	54494
gene	23701
gene	132234
gene	33943
gene	418063
gene	5996
gene	4651
gene	494
gene	222144
gene	494767
gene	5134
gene	889
gene	37213
gene	38351
gene	8666
gene	8451
gene	7532
gene	40746
gene	10782
gene	2111
gene	1580
gene	209860
gene	547864
gene	78689
gene	47556
gene	536
gene	166802
gene	189951
gene	16145
gene	159179
gene	180484
gene	47155
gene	319212
gene	1978
gene	850355
gene	14071
gene	3629
gene	7434
gene	79961
gene	123868
gene	24803
gene	19765
gene	124422
gene	4512
gene	438745
gene	98087
gene	47427
gene	80340
gene	2430
gene	20979
gene	371159
gene	281933
gene	463486
gene	7224
gene	278311
gene	153043
gene	1587
gene	101228
gene	77739
gene	26619
gene	297008
gene	77163
gene	640197
gene	8206
gene	1176
gene	83101
gene	20337
gene	3572
gene	8996
gene	51674
gene	623164
gene	15414
gene	4420
gene	9050
gene	13103
gene	14248
gene	5879
gene	34805
gene	4082
gene	4664
gene	21631
gene	1679
gene	9939
gene	259880
gene	44929
gene	2350
gene	12040
gene	281950
gene	2271
gene	67214
gene	27420
gene	172751
gene	18989
gene	5060
gene	28903
gene	120049
gene	30571
gene	6436
gene	5300
gene	3828
gene	3874
gene	23377
gene	140
gene	6727
gene	87864
gene	665
gene	665
gene	7478
gene	25643
gene	10388
gene	15405
gene	7322
gene	84508
gene	125017
gene	68771
gene	93900
gene	51856
gene	299
gene	3049
gene	30575
gene	151271
gene	201348
gene	19957
gene	2505
gene	34282
gene	14993
gene	7288
gene	104333
gene	25758
gene	137055
gene	150729
gene	145093
gene	589170
gene	4035
gene	5519
gene	1456
gene	2338
gene	52391
gene	52736
gene	92825
gene	3394
gene	12545
gene	3622
gene	8181
gene	25615
gene	9947
gene	10092
gene	94944
gene	5753
gene	54740
gene	128668
gene	86469
gene	24891
gene	68303
gene	6080
gene	43454
gene	69519
gene	99311
gene	10422
gene	20893
gene	136329
gene	57306
gene	131960
gene	107307
gene	557053
gene	7733
gene	10676
gene	5125
gene	9496
gene	12737
gene	9829
gene	28360
gene	7265
gene	83191
gene	2831
gene	10452
gene	47598
gene	16651
gene	116941
gene	9713
gene	15798
gene	8553
gene	26067
gene	4603
gene	6058
gene	4000
gene	6170
gene	27373
gene	34507
gene	33317
gene	5988
gene	28409
gene	440
gene	7506
gene	34452
gene	331542
gene	137153
gene	31079
gene	1016
gene	27622
gene	48656
gene	28627
gene	11670
gene	15998
gene	92120
gene	25216
gene	27443
gene	83777
gene	4291
gene	116989
gene	3712
gene	149710
gene	2169
gene	45629
gene	1235
gene	64354
gene	6060
gene	223502
gene	121471
gene	87259
gene	31945
gene	8085
gene	147927
gene	11882
gene	496
gene	55737
gene	294597
gene	163930
gene	47213
gene	7985
gene	38141
gene	54882
gene	1364
gene	8835
gene	66363
gene	47832
gene	8842
gene	83861
gene	10251
gene	17743
gene	58479
gene	53963
gene	63022
gene	17214
gene	56701
gene	42721
gene	9238
gene	35468
gene	1021
gene	57057
gene	31377
gene	33491
gene	62765
gene	166527
gene	63494
gene	404
gene	165024
gene	174575
gene	98449
gene	2984
gene	182174
gene	308150
gene	2516
gene	37163
gene	13562
gene	6311
gene	3656
gene	23361
gene	245994
gene	56096
gene	63155
gene	179
gene	4739
gene	54207
gene	486862
gene	31236
gene	3442
gene	11872
gene	4862
gene	779
gene	180537
gene	175543
gene	458082
gene	62159
gene	81429
gene	49786
gene	1283
gene	3803
gene	11611
gene	11877
gene	70350
gene	5676
gene	58527
gene	31750
gene	381698
gene	4019
gene	807
gene	255982
gene	13327
gene	2534
gene	224418
gene	119691
gene	43657
gene	22130
gene	22468
gene	252818
gene	110507
gene	422
gene	224049
gene	22882
gene	363137
gene	55299
gene	38333
gene	258864
gene	13017
gene	127838
gene	124266
gene	75850
gene	16015
gene	23933
gene	32511
gene	57083
gene	479076
gene	56119
gene	18891
gene	6292
gene	162684
gene	18097
gene	44400
gene	2327
gene	88423
gene	254171
gene	57748
gene	323874
gene	74491
gene	91193
gene	21462
gene	27431
gene	332
gene	61666
gene	6368
gene	70441
gene	74487
gene	54711
gene	40632
gene	12196
gene	94063
gene	7219
gene	2106
gene	156716
gene	28068
gene	152006
gene	14932
gene	14090
gene	7902
gene	10975
gene	5972
gene	2925
gene	12327
gene	2004
gene	4438
gene	4143
gene	5095
gene	9184
gene	4684
gene	8868
gene	10462
gene	101324
gene	3719
gene	8432
gene	14716
gene	10549
gene	14129
gene	23693
gene	6916
gene	19661
gene	17971
gene	98344
gene	80894
gene	194112
gene	106310
gene	36456
gene	192866
gene	113858
gene	104690
gene	12302
gene	8902
gene	37552
gene	45967
gene	6616
gene	203184
gene	43291
gene	15306
gene	100829
gene	1464
gene	30909
gene	18168
gene	25440
gene	13338
gene	129868
gene	55469
gene	187926
gene	66133
gene	13766
gene	81085
gene	17186
gene	64955
gene	18578
gene	19337
gene	12346
gene	103353
gene	110767
gene	173
gene	14270
gene	27498
gene	24913
gene	127474
gene	127245
gene	10781
gene	44696
gene	219417
gene	219663
gene	6171
gene	40264
gene	962
gene	318771
gene	25254
gene	68754
gene	275009
gene	26869
gene	29414
gene	24869
gene	25714
gene	29707
gene	100687
gene	13401
gene	46916
gene	73740
gene	148090
gene	30990
gene	42267
gene	22833
gene	205519
gene	8860
gene	218219
gene	47603
gene	1046
gene	68490
gene	51379
gene	31036
gene	2220
gene	262129
gene	9286
gene	63881
gene	18627
gene	23359
gene	10083
gene	62962
gene	5623
gene	27300
gene	181150
gene	164403
gene	13146
gene	130152
gene	31022
gene	359889
gene	989
gene	44288
gene	26087
gene	54747
gene	39922
gene	20459
gene	18708
gene	11211
gene	1373
gene	68059
gene	4391
gene	212795
gene	29755
gene	18323
gene	11547
gene	3915
gene	19125
gene	116370
gene	45125
gene	116724
gene	19742
gene	212908
gene	34330
gene	41102
gene	60329
gene	86035
gene	28129
gene	107025
gene	11835
gene	74009
gene	11016
gene	98767
gene	17284
gene	59708
gene	68555
gene	162139
gene	290216
gene	1145
gene	284656
gene	109819
gene	60733
gene	72565
gene	143038
gene	11138
gene	1067
gene	9289
gene	36078
gene	9213
gene	3919
gene	37594
gene	256851
gene	2102
gene	70616
gene	24858
gene	44084
gene	7447
gene	404
gene	404
gene	25092
gene	15047
gene	671
gene	6367
gene	22351
gene	12541
gene	20584
gene	8585
gene	18921
gene	593716
gene	4927
gene	17083
gene	94410
gene	63058
gene	17044
gene	81524
gene	122337
gene	65243
gene	255423
gene	8545
gene	3298
gene	8233
gene	42448
gene	47671
gene	1451
gene	354059
gene	7338
gene	5061
gene	146818
gene	4628
gene	13353
gene	49727
gene	26484
gene	2072
gene	14400
gene	23568
gene	866
gene	22633
gene	45561
gene	233766
gene	175706
gene	6272
gene	18866
gene	108862
gene	293764
gene	44541
gene	12722
gene	24307
gene	12327
gene	28916
gene	20436
gene	168237
gene	28625
gene	149805
gene	1753
gene	233040
gene	42420
gene	31554
gene	16421
gene	31769
gene	33226
gene	35556
gene	145945
gene	286628
gene	6453
gene	1821
gene	4489
gene	245088
gene	133218
gene	177647
gene	44600
gene	3048
gene	13256
gene	29499
gene	4062
gene	35596
gene	61402
gene	68818
gene	27093
gene	27580
gene	7516
gene	84167
gene	144754
gene	41363
gene	57097
gene	52415
gene	95963
gene	14150
gene	31443
gene	1500
gene	426185
gene	51708
gene	64256
gene	41144
gene	86101
gene	638
gene	2408
gene	244531
gene	1769
gene	284712
gene	55723
gene	24368
gene	12617
gene	13297
gene	11014
gene	18550
gene	106689
gene	101661
gene	12027
gene	17074
gene	100447
gene	15814
gene	17072
gene	818
gene	294587
gene	27816
gene	32143
gene	15625
gene	407143
gene	3447
gene	25251
gene	160205
gene	159266
gene	1532
gene	137804
gene	26168
gene	48178
gene	14564
gene	7413
gene	26375
gene	158
gene	106399
gene	185754
gene	224817
gene	52540
gene	67462
gene	37323
gene	112314
gene	1383
gene	44335
gene	16504
gene	7774
gene	74607
gene	6326
gene	7208
gene	17704
gene	28106
gene	8790
gene	25944
gene	115687
gene	14492
gene	86282
gene	25641
gene	197047
gene	8414
gene	23737
gene	115033
gene	36127
gene	44189
gene	29265
gene	20918
gene	80152
gene	164570
gene	20178
gene	73479
gene	1680
gene	1938
gene	14397
gene	34414
gene	57576
gene	34656
gene	63273
gene	532908
gene	31849
gene	111319
gene	93379
gene	54557
gene	11197
