feature	length
gene	25147
gene	35596
gene	98364
gene	207862
gene	15025
gene	11326
gene	33934
gene	43650
gene	25096
gene	10678
gene	18893
gene	21539
gene	94502
gene	94490
gene	4665
gene	129622
gene	129692
gene	119590
gene	710147
gene	283878
gene	8359
gene	87241
gene	595641
gene	5072
gene	24636
gene	45222
gene	149589
gene	11930
gene	19781
gene	40403
gene	1120
gene	11454
gene	78941
gene	2145
gene	28042
gene	145359
gene	94078
gene	6991
gene	107218
gene	666
gene	12091
gene	25889
gene	7759
gene	8421
gene	22492
gene	771
gene	30434
gene	4759
gene	13529
gene	29960
gene	930
gene	150668
gene	86982
gene	32577
gene	446602
gene	2281
gene	80176
gene	27307
gene	68837
gene	101165
gene	42995
gene	110155
gene	7680
gene	264
gene	27790
gene	893511
gene	24543
gene	34123
gene	29975
gene	24283
gene	420
gene	16510
gene	15383
gene	91017
gene	24516
gene	17629
gene	42665
gene	53274
gene	5313
gene	1596
gene	15311
gene	13623
gene	14891
gene	88990
gene	2668
gene	166435
gene	43298
gene	137081
gene	17505
gene	15298
gene	15190
gene	15500
gene	381047
gene	145948
gene	4503
gene	13685
gene	24948
gene	1001
gene	6547
gene	64128
gene	14533
gene	65660
gene	59249
gene	3669
gene	11389
gene	30729
gene	22313
gene	8637
gene	6868
gene	4005
gene	33526
gene	7933
gene	32294
gene	5655
gene	34834
gene	10549
gene	5726
gene	106704
gene	20127
gene	48454
gene	90298
gene	145620
gene	22647
gene	136367
gene	13084
gene	62540
gene	10970
gene	176404
gene	74140
gene	3397
gene	6911
gene	57569
gene	23581
gene	100422
gene	19543
gene	88641
gene	38622
gene	63691
gene	23854
gene	8655
gene	118202
gene	52179
gene	182541
gene	29582
gene	12718
gene	23156
gene	1035
gene	110167
gene	25802
gene	10741
gene	2179
gene	34953
gene	79742
gene	36006
gene	60434
gene	61843
gene	21201
gene	1653
gene	24486
gene	104714
gene	59706
gene	2484
gene	7013
gene	8365
gene	366
gene	10184
gene	69609
gene	23875
gene	9337
gene	37017
gene	3869
gene	25664
gene	43881
gene	21117
gene	75602
gene	54400
gene	10048
gene	15486
gene	45749
gene	42505
gene	19098
gene	22560
gene	109000
gene	67827
gene	11082
gene	7855
gene	53367
gene	8729
gene	2581
gene	22790
gene	62767
gene	48166
gene	8058
gene	6104
gene	9673
gene	39851
gene	28662
gene	240559
gene	71050
gene	8991
gene	191121
gene	5836
gene	21383
gene	16987
gene	27900
gene	1467
gene	39559
gene	17736
gene	114960
gene	15657
gene	2472
gene	4534
gene	28235
gene	11861
gene	12892
gene	7380
gene	3086
gene	8283
gene	7350
gene	175414
gene	2479
gene	121580
gene	1563
gene	279379
gene	6148
gene	3180
gene	14449
gene	20039
gene	1062
gene	5207
gene	43666
gene	6563
gene	5260
gene	10051
gene	159890
gene	25679
gene	675
gene	20225
gene	2011
gene	9465
gene	330285
gene	772708
gene	3143
gene	6775
gene	59026
gene	53576
gene	14002
gene	678865
gene	227955
gene	7267
gene	250356
gene	57413
gene	9305
gene	107665
gene	118189
gene	189114
gene	17931
gene	329949
gene	70329
gene	23908
gene	130774
gene	20133
gene	177308
gene	3685
gene	420004
gene	67182
gene	1473
gene	39025
gene	28641
gene	30728
gene	102788
gene	1080
gene	76118
gene	20515
gene	2187
gene	397459
gene	641453
gene	173864
gene	776617
gene	128229
gene	225729
gene	34233
gene	71690
gene	37875
gene	336392
gene	156337
gene	114451
gene	44889
gene	112587
gene	22232
gene	1060
gene	153184
gene	54805
gene	7792
gene	295226
gene	13344
gene	251266
gene	142521
gene	40678
gene	310086
gene	225037
gene	48869
gene	258625
gene	177492
gene	173523
gene	190969
gene	2240
gene	120214
gene	186845
gene	3503
gene	11899
gene	17174
gene	334530
gene	221585
gene	657
gene	14442
gene	136056
gene	565499
gene	18574
gene	2610
gene	179289
gene	74318
gene	132275
gene	5532
gene	1971
gene	449226
gene	49188
gene	21953
gene	1239
gene	23204
gene	211124
gene	22171
gene	191726
gene	69283
gene	390247
gene	17109
gene	59948
gene	9037
gene	42493
gene	3621
gene	65300
gene	2519
gene	176856
gene	567642
gene	14837
gene	40089
gene	11214
gene	23746
gene	40877
gene	73170
gene	126679
gene	14052
gene	89648
gene	1161
gene	50648
gene	21641
gene	52979
gene	14431
gene	52020
gene	24532
gene	112602
gene	29051
gene	8022
gene	144032
gene	7871
gene	7587
gene	581923
gene	115662
gene	41862
gene	21638
gene	168499
gene	4741
gene	1828
gene	23781
gene	57164
gene	30300
gene	52448
gene	38990
gene	6473
gene	2643
gene	67365
gene	3406
gene	984
gene	1473
gene	10207
gene	46019
gene	66845
gene	7814
gene	12320
gene	5933
gene	174047
gene	80754
gene	25840
gene	1928
gene	53690
gene	71376
gene	30575
gene	2549
gene	9501
gene	30779
gene	53033
gene	52797
gene	95487
gene	46780
gene	408087
gene	16329
gene	1940
gene	238593
gene	16874
gene	19378
gene	8826
gene	63420
gene	14927
gene	21465
gene	60686
gene	11792
gene	73764
gene	12489
gene	86621
gene	40261
gene	7981
gene	22251
gene	8616
gene	65566
gene	159
gene	22511
gene	67405
gene	181177
gene	181471
gene	1146
gene	6153
gene	1551
gene	202228
gene	22003
gene	1899
gene	1095
gene	543
gene	58579
gene	97059
gene	66500
gene	73334
gene	19493
gene	14713
gene	32132
gene	11317
gene	8170
gene	22735
gene	39729
gene	5518
gene	29980
gene	30542
gene	19909
gene	43312
gene	102477
gene	25971
gene	70220
gene	59099
gene	35559
gene	61008
gene	49427
gene	962
gene	22242
gene	2886
gene	21294
gene	3990
gene	70867
gene	26404
gene	28468
gene	4081
gene	110811
gene	4196
gene	31015
gene	4559
gene	4471
gene	264759
gene	7467
gene	3741
gene	111755
gene	3161
gene	56726
gene	79453
gene	95232
gene	26745
gene	14932
gene	49364
gene	2939
gene	20963
gene	22454
gene	1349
gene	8968
gene	113808
gene	1242
gene	85501
gene	54193
gene	38615
gene	67687
gene	34383
gene	34527
gene	7375
gene	113168
gene	107655
gene	3480
gene	1281
gene	37396
gene	488615
gene	90717
gene	92422
gene	10587
gene	46470
gene	268746
gene	171743
gene	207931
gene	557146
gene	5481
gene	24743
gene	85384
gene	194145
gene	55066
gene	19751
gene	18340
gene	151478
gene	27476
gene	23019
gene	151676
gene	50652
gene	491494
gene	5490
gene	68842
gene	167171
gene	65054
gene	8097
gene	12484
gene	53970
gene	57886
gene	115607
gene	5306
gene	24650
gene	23964
gene	2822
gene	5381
gene	5936
gene	20737
gene	13444
gene	52130
gene	45740
gene	8459
gene	6586
gene	197496
gene	2262
gene	58746
gene	25510
gene	12367
gene	34310
gene	13625
gene	4091
gene	8017
gene	23964
gene	268783
gene	65050
gene	204561
gene	160039
gene	151639
gene	2263
gene	152919
gene	4082
gene	68825
gene	6293
gene	24756
gene	12985
gene	5499
gene	556040
gene	487435
gene	172753
gene	5941
gene	5393
gene	187729
gene	23018
gene	83148
gene	5250
gene	56173
gene	50233
gene	58754
gene	55022
gene	19754
gene	11576
gene	46829
gene	28730
gene	20715
gene	45831
gene	52178
gene	13625
gene	8458
gene	18340
gene	115421
gene	24642
gene	10521
gene	53961
gene	25609
gene	5498
gene	6629
gene	33249
gene	197590
gene	12369
gene	5165
gene	25137
gene	4177
gene	170219
gene	190473
gene	66721
gene	19892
gene	67885
gene	188718
gene	26141
gene	8296
gene	349518
gene	32699
gene	12003
gene	13593
gene	64711
gene	178412
gene	15274
gene	994
gene	474670
gene	58545
gene	32174
gene	5970
gene	10179
gene	44281
gene	38743
gene	71042
gene	127756
gene	276914
gene	134666
gene	44353
gene	2698
gene	169473
gene	109422
gene	72840
gene	153126
gene	44361
gene	14620
gene	6971
gene	42729
gene	20956
gene	15373
gene	23673
gene	288543
gene	111067
gene	46745
gene	42945
gene	823302
gene	15339
gene	7932
gene	9128
gene	913
gene	27887
gene	137856
gene	86900
gene	86216
gene	4755
gene	82421
gene	150506
gene	145712
gene	47554
gene	8919
gene	86956
gene	34971
gene	16253
gene	18278
gene	59045
gene	8375
gene	27374
gene	174005
gene	40178
gene	20186
gene	16648
gene	145363
gene	4578
gene	42172
gene	1517
gene	438982
gene	50600
gene	12980
gene	149870
gene	22229
gene	96790
gene	11560
gene	64700
gene	7529
gene	73987
gene	19116
gene	45337
gene	2875
gene	680
gene	31272
gene	7216
gene	31059
gene	28055
gene	36036
gene	170517
gene	33762
gene	10942
gene	16734
gene	62369
gene	58756
gene	6514
gene	34666
gene	81289
gene	21791
gene	20251
gene	38151
gene	15011
gene	15291
gene	55712
gene	1806
gene	10141
gene	19302
gene	370092
gene	98444
gene	47429
gene	39620
gene	154973
gene	46104
gene	8925
gene	8553
gene	20891
gene	28114
gene	6670
gene	145576
gene	43860
gene	208053
gene	785105
gene	5153
gene	87780
gene	6269
gene	21983
gene	22595
gene	14933
gene	2886
gene	7492
gene	37374
gene	64843
gene	247562
gene	45828
gene	38944
gene	10752
gene	44629
gene	411435
gene	11750
gene	188711
gene	7818
gene	19916
gene	21140
gene	26158
gene	14462
gene	25352
gene	36740
gene	11296
gene	11967
gene	6377
gene	22170
gene	76993
gene	191364
gene	166968
gene	59909
gene	810109
gene	93279
gene	18691
gene	4890
gene	25988
gene	269400
gene	424503
gene	28385
gene	6511
gene	9401
gene	35900
gene	13869
