feature	length
gene	611051
gene	24391
gene	187073
gene	137127
gene	65055
gene	688238
gene	30066
gene	50004
gene	121253
gene	161338
gene	26360
gene	3513
gene	24081
gene	590386
gene	102716
gene	54308
gene	850913
gene	49114
gene	115813
gene	220467
gene	438343
gene	21534
gene	41093
gene	7931
gene	98678
gene	14721
gene	72957
gene	50187
gene	55277
gene	1113
gene	186
gene	39934
gene	238431
gene	5121
gene	16761
gene	235282
gene	207518
gene	425948
gene	31979
gene	231991
gene	82655
gene	279282
gene	134148
gene	27056
gene	75577
gene	151652
gene	694233
gene	22728
gene	74704
gene	93856
gene	10326
gene	9482
gene	44382
gene	60911
gene	19291
gene	26985
gene	99514
gene	32118
gene	286629
gene	236057
gene	32717
gene	75028
gene	12178
gene	28858
gene	49966
gene	24727
gene	11479
gene	43273
gene	140208
gene	1357
gene	351
gene	603
gene	57175
gene	1245
gene	5575
gene	170083
gene	659683
gene	148090
gene	5999
gene	24424
gene	71524
gene	435386
gene	56639
gene	66422
gene	9806
gene	21725
gene	75825
gene	69606
gene	3780
gene	44919
gene	5751
gene	4796
gene	118428
gene	244887
gene	305478
gene	57673
gene	70134
gene	199334
gene	158069
gene	10278
gene	227040
gene	304978
gene	2634
gene	317966
gene	122180
gene	36836
gene	83685
gene	32538
gene	5900
gene	40899
gene	248210
gene	181656
gene	147044
gene	9195
gene	28468
gene	33956
gene	47388
gene	319540
gene	126043
gene	21564
gene	176438
gene	249547
gene	55144
gene	35671
gene	90378
gene	2211
gene	14016
gene	19876
gene	28195
gene	115841
gene	57228
gene	12088
gene	29573
gene	376277
gene	7473
gene	182972
gene	27369
gene	89403
gene	33702
gene	84539
gene	13500
gene	84469
gene	36954
gene	38054
gene	109605
gene	17171
gene	123039
gene	213890
gene	6056
gene	23887
gene	20380
gene	33595
gene	4185
gene	671986
gene	131725
gene	58896
gene	58672
gene	94575
gene	31010
gene	46362
gene	63963
gene	119632
gene	848360
gene	10368
gene	47787
gene	7057
gene	99414
gene	111717
gene	32262
gene	141554
gene	693
gene	29569
gene	1449
gene	82849
gene	345
gene	35857
gene	20100
gene	72774
gene	98528
gene	18861
gene	3810
gene	6783
gene	22912
gene	23341
gene	33058
gene	88221
gene	244120
gene	2774
gene	25583
gene	2264
gene	2738
gene	37374
gene	18105
gene	27257
gene	100350
gene	67744
gene	15062
gene	1986
gene	2363
gene	3703
gene	225956
gene	25115
gene	23539
gene	7388
gene	5872
gene	53917
gene	35738
gene	948
gene	5738
gene	5570
gene	287619
gene	407411
gene	38847
gene	9090
gene	98827
gene	21274
gene	48666
gene	35318
gene	9685
gene	10902
gene	278244
gene	179167
gene	3890
gene	321031
gene	5424
gene	38219
gene	27015
gene	5610
gene	1264
gene	69882
gene	28761
gene	24421
gene	52435
gene	2742
gene	120757
gene	11003
gene	47705
gene	70310
gene	5042
gene	14068
gene	27919
gene	47311
gene	3026
gene	22824
gene	421098
gene	19069
gene	208638
gene	32802
gene	9470
gene	58533
gene	22824
gene	12785
gene	277919
gene	484
gene	42131
gene	54560
gene	1360
gene	3572
gene	38182
gene	30069
gene	84400
gene	12546
gene	473269
gene	95188
gene	18615
gene	19585
gene	138
gene	54980
gene	91076
gene	35895
gene	6519
gene	54141
gene	7978
gene	13783
gene	15349
gene	1104
gene	48967
gene	14490
gene	657
gene	37178
gene	13691
gene	476
gene	15502
gene	10836
gene	6662
gene	12341
gene	24059
gene	9911
gene	4611
gene	24960
gene	43373
gene	11698
gene	163692
gene	17415
gene	82232
gene	39322
gene	324
gene	11784
gene	94945
gene	26461
gene	86376
gene	28469
gene	11764
gene	3324
gene	29744
gene	69146
gene	28371
gene	41273
gene	7396
gene	3743
gene	30311
gene	33614
gene	48733
gene	164490
gene	9885
gene	33814
gene	12931
gene	20313
gene	32418
gene	370248
gene	23395
gene	12698
gene	100118
gene	10804
gene	16258
gene	33880
gene	470
gene	7277
gene	19249
gene	15183
gene	195192
gene	5883
gene	1848
gene	8022
gene	2024
gene	11582
gene	2869
gene	111819
gene	59976
gene	7578
gene	21694
gene	12235
gene	47460
gene	486
gene	23236
gene	2110
gene	58298
gene	3211
gene	106377
gene	11697
gene	25987
gene	19448
gene	465
gene	23979
gene	91082
gene	91765
gene	1038
gene	19878
gene	14092
gene	135060
gene	2511
gene	7382
gene	100352
gene	18711
gene	15038
gene	14911
gene	3483
gene	17106
gene	4787
gene	67975
gene	7018
gene	2818
gene	3092
gene	47166
gene	8526
gene	1092
gene	51058
gene	20051
gene	43901
gene	6051
gene	6140
gene	4517
gene	8876
gene	130284
gene	25911
gene	4797
gene	6915
gene	7228
gene	33711
gene	16912
gene	846
gene	2214
gene	18726
gene	6719
gene	23669
gene	11917
gene	642
gene	154465
gene	2949
gene	6738
gene	4939
gene	9129
gene	14107
gene	543202
gene	13331
gene	42699
gene	1050
gene	10207
gene	150661
gene	30911
gene	82049
gene	22680
gene	24506
gene	1176
gene	14314
gene	9155
gene	37287
gene	497
gene	279
gene	25503
gene	49271
gene	38436
gene	30800
gene	40860
gene	23866
gene	409025
gene	41799
gene	1043
gene	31340
gene	813
gene	4672
gene	3609
gene	17593
gene	137925
gene	8171
gene	746957
gene	30844
gene	735
gene	25665
gene	52995
gene	10566
gene	95844
gene	75693
gene	30671
gene	10631
gene	1128
gene	3545
gene	425546
gene	975
gene	17300
gene	19993
gene	5232
gene	593
gene	9254
gene	912
gene	3114
gene	42124
gene	7638
gene	134104
gene	18595
gene	18531
gene	70808
gene	984
gene	4344
gene	11877
gene	21135
gene	3702
gene	13800
gene	67999
gene	440
gene	1194
gene	130986
gene	36287
gene	465
gene	954
gene	96057
gene	5191
gene	1887
gene	76412
gene	639846
gene	36841
gene	47884
gene	54256
gene	5767
gene	437
gene	40806
gene	8907
gene	5319
gene	942
gene	38657
gene	29092
gene	873
gene	17946
gene	12439
gene	4239
gene	20281
gene	17926
gene	2258
gene	2869
gene	27403
gene	12437
gene	2839
gene	1098
gene	16952
gene	2256
gene	93165
gene	4003
gene	17549
gene	25011
gene	4892
gene	213524
gene	5989
gene	5196
gene	41149
gene	3954
gene	8868
gene	6962
gene	32944
gene	1276
gene	22245
gene	6818
gene	1316
gene	12811
gene	2042
gene	102075
gene	37570
gene	19247
gene	24172
gene	54920
gene	183783
gene	39020
gene	1004
gene	39144
gene	34838
gene	19748
gene	4195
gene	5629
gene	93308
gene	8175
gene	987
gene	9910
gene	1898
gene	1065
gene	1008
gene	67892
gene	948
gene	17526
gene	16355
gene	2577
gene	366
gene	125996
gene	5102
gene	27123
gene	73466
gene	15611
gene	4018
gene	27587
gene	20743
gene	977
gene	51711
gene	73588
gene	12587
gene	79287
gene	6665
gene	162807
gene	942
gene	57035
gene	4972
gene	75026
gene	4399
gene	80384
gene	14688
gene	26441
gene	5467
gene	7205
gene	11902
gene	13160
gene	8750
gene	6246
gene	5131
gene	8014
gene	12064
gene	11793
gene	45977
gene	3041
gene	12631
gene	17535
gene	441
gene	11057
gene	2374
gene	15032
gene	18493
gene	30447
gene	946
gene	9765
gene	12339
gene	12182
gene	54144
gene	1130
gene	1064632
gene	41576
gene	165603
gene	142946
gene	10384
gene	192408
gene	178376
gene	54365
gene	71017
gene	47731
gene	59536
gene	304589
gene	47218
gene	9260
gene	957
gene	96004
gene	13664
gene	47231
gene	31436
gene	202053
gene	9828
gene	1655
gene	24150
gene	16366
gene	57430
gene	72341
gene	576694
gene	138382
gene	23317
gene	33370
gene	38022
gene	148299
gene	6317
gene	25577
gene	14344
gene	69476
gene	52611
gene	240428
gene	82877
gene	31399
gene	94177
gene	8782
gene	92638
gene	100049
gene	35212
gene	22184
gene	11400
gene	13445
gene	6913
gene	52991
gene	126277
gene	50585
gene	34134
gene	58104
gene	13943
gene	40477
gene	39277
gene	91812
gene	328684
gene	21503
gene	20487
gene	17163
gene	20463
gene	50186
gene	25605
gene	6010
gene	17502
gene	11079
gene	32921
gene	24528
gene	45213
gene	583462
gene	11595
gene	13318
gene	13777
gene	13992
gene	54411
gene	365954
gene	1653
gene	57236
gene	149136
gene	13922
gene	58002
gene	18833
gene	11227
gene	1191
gene	62148
gene	12222
gene	13672
gene	1062
gene	4772
gene	3824
gene	164295
gene	15367
gene	20997
gene	7243
gene	3249
gene	19664
gene	17497
gene	118532
gene	66145
gene	23956
gene	4400
gene	193674
gene	4241
gene	46068
gene	26856
gene	5662
gene	72248
gene	15621
gene	20250
gene	3978
gene	14035
gene	5176
gene	34458
gene	1238374
gene	5948
gene	218299
gene	85186
gene	33947
gene	147055
gene	26462
gene	3039
gene	8724
gene	1671
gene	7430
gene	152972
gene	6754
gene	36564
gene	10426
gene	52851
gene	44163
gene	44661
gene	12439
gene	2348
gene	8718
gene	74957
gene	86806
gene	57233
gene	375
gene	160889
gene	61284
gene	14645
gene	57917
gene	241118
gene	144272
gene	81615
gene	47942
gene	19204
gene	342615
gene	9830
gene	38927
gene	662919
gene	25065
gene	1789
gene	63087
gene	3517
gene	336200
gene	9231
gene	80690
gene	134731
gene	2256
gene	71481
gene	161372
gene	228103
gene	139609
gene	492920
gene	41117
gene	39233
gene	4447
gene	23797
gene	35961
gene	38707
gene	292951
gene	6911
gene	219438
gene	181837
gene	150290
gene	414479
gene	47482
gene	9502
gene	170143
gene	47434
gene	32800
gene	218787
gene	46405
gene	39270
gene	558805
gene	6663
gene	176109
gene	15965
gene	126819
gene	1594
gene	2223
gene	373263
gene	51363
gene	20345
gene	290058
gene	466771
gene	42839
gene	138773
gene	152630
gene	12956
gene	3766
gene	849
gene	27322
gene	208984
gene	289268
gene	8430
gene	9418
gene	12702
gene	180199
gene	1975
gene	2877
gene	17852
gene	1200
gene	163042
gene	1570
gene	27663
gene	11914
gene	9333
gene	5801
gene	57064
gene	6019
gene	161385
gene	5417
gene	65769
gene	59465
gene	70693
gene	86140
gene	6355
gene	104081
gene	1806
gene	105678
gene	3907
gene	43859
gene	3877
gene	5626
gene	22096
gene	25007
gene	35244
gene	71430
gene	195248
gene	23659
gene	313007
gene	27370
gene	83151
gene	1586
gene	97870
gene	95580
gene	43490
gene	128862
gene	56198
gene	48106
gene	45480
gene	235250
gene	148009
gene	41717
gene	11340
gene	17829
gene	12095
gene	18001
gene	15789
gene	286633
gene	79514
gene	17686
gene	68730
gene	8171
gene	101021
gene	4428
gene	26980
gene	39112
gene	164724
gene	906906
gene	207250
gene	34511
gene	492
gene	609266
gene	37132
gene	43305
gene	78735
gene	86303
gene	27104
gene	40376
gene	28518
gene	8346
gene	50649
gene	15631
gene	3212
gene	29373
gene	1443
gene	35597
gene	1095
gene	32073
gene	2413
gene	74093
gene	5070
gene	115130
gene	83599
gene	26009
gene	26767
gene	18139
gene	18573
gene	35660
gene	29975
gene	35417
gene	2952
gene	30922
gene	14633
gene	34825
gene	80734
gene	3190
gene	46496
gene	149649
gene	518
gene	2857
gene	436662
gene	140467
gene	1537
gene	23251
gene	9471
gene	1164
gene	1662
gene	12352
gene	101616
gene	16078
gene	78477
gene	3720
gene	14226
gene	4813
gene	37306
gene	13174
gene	1003
gene	162579
gene	1564
gene	10722
gene	182101
gene	446870
gene	508778
gene	279441
gene	360138
gene	12385
gene	57617
gene	664140
gene	113349
gene	2742
gene	34602
gene	202610
gene	73231
gene	4645
gene	513172
gene	21510
gene	1068
gene	21492
gene	76480
gene	963
gene	942
gene	1032
gene	7012
gene	20901
gene	16503
gene	258339
gene	10728
gene	106125
gene	973591
gene	417318
gene	49868
gene	32637
gene	936
gene	31780
gene	4699
gene	1169
gene	880685
gene	11842
gene	5780
gene	2082
gene	735
gene	49666
gene	42680
gene	1007
gene	17307
gene	13702
gene	194131
gene	328339
gene	278960
gene	818837
gene	40591
gene	204481
gene	318920
gene	26403
gene	64408
gene	24765
gene	449566
gene	159420
gene	21955
gene	9800
gene	189104
gene	45429
gene	2037
gene	187132
gene	9960
gene	67951
gene	24491
gene	219817
gene	113822
gene	102267
gene	6860
gene	42615
gene	29273
gene	63319
gene	140464
gene	15003
gene	9774
gene	52572
gene	41368
gene	30171
gene	50336
gene	44951
gene	163836
gene	5879
gene	46282
gene	22390
gene	152925
gene	32142
gene	183634
gene	35442
gene	96519
gene	212029
gene	47934
gene	54389
gene	35130
gene	57869
gene	42589
gene	158832
gene	18559
gene	22301
gene	36410
gene	16343
gene	101861
gene	65152
gene	4272
gene	147061
gene	27289
gene	30422
gene	8249
gene	936
gene	16913
gene	134067
gene	978
gene	97114
gene	19342
gene	211824
gene	32731
gene	273577
gene	105908
gene	12299
gene	151821
gene	3155
gene	783
gene	221822
gene	2489
gene	74194
gene	73951
gene	344612
gene	14232
gene	17819
gene	56015
gene	43732
gene	10609
gene	55181
gene	1605
gene	3567
gene	19442
gene	897
gene	85287
gene	14202
gene	8731
gene	19534
gene	52829
gene	13676
gene	118267
gene	309015
gene	19071
gene	18867
gene	4226
gene	441796
gene	19832
gene	71050
gene	23512
gene	35300
gene	2307
gene	9047
gene	60965
gene	1050
gene	18791
gene	324892
gene	30816
gene	122741
gene	67704
gene	10685
gene	23522
gene	55746
gene	67370
gene	49566
gene	93866
gene	45419
gene	24852
gene	117933
gene	75294
gene	798
gene	62311
gene	660286
gene	28279
gene	29731
gene	66573
gene	507657
gene	124795
gene	125070
gene	95658
gene	50816
gene	29089
gene	158742
gene	80969
gene	44459
gene	17715
gene	6465
gene	106583
gene	17167
gene	178922
gene	26273
gene	42611
gene	13724
gene	194341
gene	12571
gene	14729
gene	147733
gene	6813
gene	24755
gene	434348
gene	33448
gene	11433
gene	64871
gene	120804
gene	123627
gene	80045
gene	14427
gene	119109
gene	218954
gene	99902
gene	70016
gene	144648
gene	56429
gene	19668
gene	3143
gene	25824
gene	247305
gene	43360
gene	118685
gene	60487
gene	537
gene	20658
gene	63291
gene	202381
gene	6362
gene	28076
gene	126007
gene	477757
gene	7627
gene	102722
gene	24574
gene	6262
gene	32657
gene	267786
gene	4217
gene	93138
gene	3192
gene	65654
gene	232874
gene	1422
gene	121838
gene	33306
gene	40130
gene	256208
gene	20816
gene	23056
gene	77941
gene	1128
gene	23612
gene	20371
gene	90423
gene	46859
