feature	length
gene	10367
gene	275947
gene	93872
gene	66125
gene	372621
gene	85187
gene	1074
gene	91898
gene	79514
gene	777393
gene	75185
gene	23157
gene	42824
gene	94287
gene	79560
gene	69174
gene	264057
gene	28233
gene	169674
gene	169683
gene	141674
gene	80075
gene	62249
gene	43701
gene	271702
gene	41639
gene	983
gene	750
gene	57977
gene	457969
gene	28248
gene	26345
gene	18179
gene	482881
gene	165237
gene	22819
gene	118308
gene	6901
gene	53350
gene	392945
gene	21304
gene	690783
gene	65030
gene	99837
gene	58337
gene	284216
gene	98219
gene	27293
gene	1113
gene	1481
gene	82847
gene	66446
gene	34142
gene	35961
gene	39565
gene	207163
gene	63478
gene	33665
gene	94746
gene	123245
gene	11774
gene	34379
gene	18484
gene	1791
gene	55827
gene	20971
gene	220700
gene	324511
gene	8774
gene	33207
gene	9879
gene	7001
gene	19393
gene	58648
gene	639186
gene	15714
gene	256148
gene	310221
gene	50631
gene	14891
gene	132403
gene	436316
gene	75177
gene	97467
gene	3188
gene	53381
gene	57261
gene	85366
gene	16686
gene	45891
gene	39467
gene	73969
gene	19424
gene	16550
gene	55402
gene	25770
gene	56842
gene	28990
gene	7017
gene	144
gene	99214
gene	31331
gene	124485
gene	310704
gene	16579
gene	2057
gene	8834
gene	451021
gene	26982
gene	5149
gene	1065
gene	15371
gene	4075
gene	17350
gene	142852
gene	73683
gene	45947
gene	242722
gene	8086
gene	276528
gene	44599
gene	57755
gene	17553
gene	156828
gene	28165
gene	58832
gene	333390
gene	30349
gene	2954
gene	23037
gene	93902
gene	34902
gene	356063
gene	176948
gene	47569
gene	990
gene	30187
gene	2490
gene	255334
gene	133704
gene	190690
gene	45661
gene	347042
gene	1054
gene	212269
gene	150394
gene	51723
gene	58914
gene	23239
gene	66393
gene	36082
gene	133458
gene	150458
gene	35330
gene	3403
gene	129880
gene	59006
gene	4790
gene	8935
gene	58465
gene	27721
gene	165363
gene	110354
gene	28850
gene	87836
gene	56284
gene	18951
gene	7832
gene	53753
gene	184373
gene	169300
gene	63638
gene	73050
gene	345
gene	49125
gene	63797
gene	37901
gene	128108
gene	13863
gene	71804
gene	24273
gene	9687
gene	13109
gene	3827
gene	51930
gene	8266
gene	14214
gene	25168
gene	565720
gene	850736
gene	52286
gene	25333
gene	8334
gene	41166
gene	30390
gene	186843
gene	687194
gene	27750
gene	109330
gene	27083
gene	150674
gene	1479
gene	57932
gene	92430
gene	229884
gene	13397
gene	81561
gene	3639
gene	26857
gene	14773
gene	20449
gene	36101
gene	2727
gene	6336
gene	43985
gene	66981
gene	12424
gene	128665
gene	1248
gene	27875
gene	195005
gene	115967
gene	6485
gene	4414
gene	270148
gene	6062
gene	2301
gene	74503
gene	33407
gene	46804
gene	26383
gene	114842
gene	14517
gene	16964
gene	40158
gene	34602
gene	3162
gene	50580
gene	254562
gene	63229
gene	190603
gene	72416
gene	25098
gene	76227
gene	128464
gene	14270
gene	487718
gene	922
gene	6486
gene	26994
gene	6463
gene	1737
gene	11758
gene	96996
gene	7050
gene	14549
gene	603
gene	256418
gene	51001
gene	71171
gene	404587
gene	17131
gene	7251
gene	81262
gene	2439
gene	36044
gene	67414
gene	12448
gene	22996
gene	244873
gene	107388
gene	6503
gene	17469
gene	127430
gene	529981
gene	4625
gene	17767
gene	94291
gene	51599
gene	59821
gene	90909
gene	19250
gene	56769
gene	10007
gene	203275
gene	2178
gene	36964
gene	57891
gene	50066
gene	7942
gene	79265
gene	159783
gene	3295
gene	8211
gene	97581
gene	44035
gene	104237
gene	339248
gene	9451
gene	16065
gene	10757
gene	54073
gene	5866
gene	80686
gene	73857
gene	64629
gene	95394
gene	271266
gene	65360
gene	28489
gene	63245
gene	22817
gene	101820
gene	12633
gene	54492
gene	22507
gene	40523
gene	110792
gene	5183
gene	88115
gene	84951
gene	152886
gene	167448
gene	53447
gene	93340
gene	24957
gene	29743
gene	4676
gene	140090
gene	345
gene	14558
gene	37974
gene	18234
gene	5091
gene	59319
gene	84037
gene	741
gene	60608
gene	4529
gene	188099
gene	71439
gene	14090
gene	123463
gene	2118
