	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-MINDY2	I	I	I	PI	I	PI	I	I
gene-LOC122455401	I	UL	I	I	I	UL	I	UL
gene-ANK1	I	I	I	I	I	I	I	I
gene-TNRC6B	I	I	I	I	PI	I	UL	I
gene-NR2E1	I	I	I	I	I	I	I	I
gene-QKI	I	I	I	I	I	I	I	I
gene-B3GALNT1	I	I	I	I	I	I	I	I
gene-SLC29A4	I	I	I	I	I	I	I	I
gene-MMS22L	I	I	I	I	I	I	I	I
gene-LOC119856549	I	L	I	L	PI	L	I	L
gene-CARF	I	I	I	I	I	I	I	I
gene-C11H2orf69	I	I	I	I	I	I	I	I
gene-MIGA1	I	I	I	I	I	I	UL	I
gene-PUM1	I	I	I	I	I	I	I	I
gene-REELD1	I	I	I	I	I	I	I	I
gene-PELP1	PM	PG	L	I	M	I	I	M
gene-LINGO2	I	I	I	I	I	I	I	I
gene-ITPKC	I	I	PI	I	I	PI	UL	I
gene-ALAS2	M	UL	PM	I	UL	I	UL	I
gene-TTLL5	I	I	I	I	I	I	I	I
gene-NFIA	I	I	I	I	I	I	I	I
gene-METAP1	I	I	I	I	I	I	I	I
gene-WWC3	I	I	I	I	I	I	I	I
gene-RSRC2	I	I	I	I	I	I	I	I
gene-LOC119857239	I	I	I	I	I	I	I	I
gene-FAM222B	I	I	I	I	I	I	I	I
gene-RPS6KA3	I	I	I	I	I	I	I	I
gene-GPN1	I	PI	I	PI	I	I	PI	I
gene-MAST3	I	I	I	I	I	I	UL	I
gene-HNRNPUL2	I	I	I	I	I	I	I	I
gene-TMEM167B	I	I	I	I	I	I	I	I
gene-PLEKHG2	UL	I	I	I	PI	UL	I	I
gene-RLF	I	I	I	I	I	I	L	I
gene-LOC119856430	I	M	L	M	L	M	M	M
gene-EXOC3L1	PI	I	PI	I	PI	I	I	I
gene-TSPAN14	I	I	I	I	PI	I	I	I
gene-PPP3CB	UL	I	I	I	I	I	I	I
gene-CRK	I	I	I	I	I	I	I	I
gene-CEP19	I	I	I	I	I	I	I	I
gene-SHISA4	PI	PI	PI	PI	PI	PI	PI	UL
gene-LOC122456603	UL	PM	I	PM	I	UL	L	L
gene-PFN2	I	I	I	I	I	I	I	I
gene-TRMT10B	I	I	I	I	I	I	I	I
gene-CLPTM1L	I	I	I	I	I	I	UL	I
gene-LOC119856943	I	I	I	I	I	I	I	I
gene-LOC119853442	L	L	L	L	L	L	L	L
gene-LOC119844468	I	I	I	I	I	I	I	I
gene-SLC46A3	I	I	I	I	I	I	I	I
gene-LOC119853176	I	I	I	I	I	I	I	I
gene-CCDC171	I	I	I	I	PI	I	I	I
gene-MTA1	I	I	I	I	I	I	UL	I
gene-MDGA1	I	I	I	I	PI	I	I	I
gene-LOC119857223	I	L	I	L	I	L	I	L
gene-TERT	I	I	I	I	PI	I	I	I
gene-STAG1	I	I	I	I	I	I	I	I
gene-NUDT6	I	I	I	I	I	I	I	I
gene-MLLT10	I	I	I	I	I	I	I	I
gene-TMEM53	I	I	I	I	I	I	I	I
gene-TPM1	I	I	I	I	I	I	I	I
gene-TRMT2A	I	I	I	I	I	I	I	I
gene-MCM8	I	I	PI	I	I	I	I	I
gene-EPB41	I	I	I	I	I	I	I	I
gene-RHBDD3	PI	L	UL	I	I	I	L	I
gene-SLC7A6	I	I	I	I	I	I	I	I
gene-FOXP1	I	I	I	I	I	I	I	I
gene-DBNDD2	I	I	I	I	I	I	I	I
gene-SLC41A3	I	I	I	I	I	I	I	I
gene-HGS	I	I	I	I	I	I	I	I
gene-HIVEP1	I	I	I	I	I	I	UL	I
gene-FHL2	I	I	I	I	I	I	I	I
gene-AP2B1	I	I	I	I	PI	I	I	I
gene-NCKAP5L	PM	I	I	I	I	I	UL	I
gene-ACTN3	I	I	I	I	I	I	UL	I
gene-MYL10	I	I	I	I	I	I	I	I
gene-FXYD6	I	I	I	I	I	I	I	I
gene-UNC5D	PI	I	I	I	PI	I	I	I
gene-TRAPPC9	I	PI	I	UL	I	I	I	UL
gene-ABCB5	I	I	UL	I	UL	I	UL	I
gene-C2CD5	I	I	I	I	I	I	I	I
gene-LOC119860986	I	I	I	I	I	I	I	I
gene-C20H19orf67	I	I	I	I	I	I	I	I
gene-PIK3C3	I	I	I	I	I	I	I	I
gene-SYT7	I	I	I	I	I	I	I	I
gene-TLCD2	I	I	I	I	I	I	I	PI
gene-MAGT1	I	I	I	I	I	I	I	I
gene-XPNPEP1	I	I	I	I	I	I	I	I
gene-ERG	I	I	I	I	I	I	I	I
gene-ZMYM2	I	I	I	I	I	I	I	I
gene-LOC119858363	I	I	PI	I	I	I	I	I
gene-GNAI2	I	I	I	I	PI	I	UL	I
gene-BICRA	PI	I	I	I	I	I	I	I
gene-FAM193A	I	I	I	I	I	I	I	I
gene-ASB9	I	I	I	I	I	I	I	I
gene-NTRK2	I	PI	I	I	I	I	I	I
gene-ZMYND11	I	I	I	I	I	I	I	I
gene-LOC119849113	I	I	I	I	I	I	I	I
gene-RESF1	I	I	I	I	I	I	UL	I
gene-SIK3	I	I	I	I	I	I	UL	I
gene-TECPR1	I	I	I	I	I	I	I	I
gene-CDC6	I	I	I	I	I	I	I	I
gene-RIBC1	PM	UL	I	I	I	I	I	I
gene-TRAF3	I	I	I	I	I	I	I	I
gene-SMPD2	I	I	I	I	I	I	I	I
gene-LYPLA2	I	I	I	I	I	I	I	I
gene-SMOX	I	I	I	I	I	I	I	I
gene-LOC119859904	L	UL	L	I	L	M	L	L
gene-CNST	I	I	I	I	I	I	I	I
gene-DST	I	I	I	I	I	I	UL	I
gene-HIGD1C	I	I	I	I	I	I	I	I
gene-MLLT1	I	I	I	I	PI	I	I	I
gene-CIC	UL	UL	UL	L	UL	L	UL	PI
gene-NPHP1	I	I	I	I	I	I	I	I
gene-LOC119863613	I	I	I	I	I	I	UL	I
gene-NUMB	I	I	I	I	I	I	I	I
gene-SUPT20H	I	I	I	I	I	I	I	I
gene-CREM	I	I	I	I	I	I	I	I
gene-LOC119863088	I	I	I	I	I	I	I	I
gene-LOC119863741	I	I	I	I	I	I	I	I
gene-SPOCK3	I	I	I	I	PI	I	I	I
gene-TAF8	I	I	I	I	I	I	I	I
gene-POSTN	I	I	I	I	I	I	I	I
gene-PPP2R3A	I	I	I	I	I	I	I	I
gene-LOC119850510	I	I	I	I	I	I	I	I
gene-KDM1A	I	PI	I	I	PI	I	UL	I
gene-DNER	I	I	I	PI	I	I	I	I
gene-MTIF2	I	I	I	I	I	I	I	I
gene-MSTO1	I	I	I	I	I	I	I	I
gene-AZIN2	I	I	I	I	I	I	I	I
gene-LOC119860637	I	I	I	I	I	I	UL	I
gene-COL17A1	I	I	I	I	I	I	UL	I
gene-SHISAL1	I	PI	I	PI	I	I	I	I
gene-STK31	I	I	I	I	I	I	I	I
gene-DCLK1	I	I	I	I	I	I	I	I
gene-RAD9B	I	I	I	I	I	I	UL	I
gene-MIGA2	I	I	I	I	I	I	I	I
gene-LOC119860183	I	I	I	I	I	I	I	I
gene-PTPRE	I	I	I	I	I	I	I	I
gene-PRRG2	I	PI	UL	I	I	I	I	UL
gene-KLC4	I	I	I	I	I	PI	UL	I
gene-BMP1	I	I	I	I	I	I	UL	I
gene-LOC119848579	I	I	I	I	UL	I	I	I
gene-FANCM	I	I	I	I	I	I	I	I
gene-MLLT11	I	I	I	I	I	I	I	I
gene-SIKE1	I	I	I	I	I	I	I	I
gene-TRAPPC10	I	I	I	I	I	I	I	I
gene-LOC119843749	I	L	I	I	I	I	I	I
gene-ING2	I	I	I	I	I	I	I	I
gene-LOC119846098	PI	UL	L	PI	PI	I	UL	I
gene-LOC122455372	L	L	UL	UL	UL	I	UL	I
gene-CDC42	I	I	I	I	I	I	I	I
gene-MMD	I	I	I	I	I	I	I	I
gene-CEP192	I	UL	I	I	I	I	UL	I
gene-LOC119842949	UL	I	I	I	I	I	UL	PI
gene-NAT16	PM	I	PI	I	PM	I	I	I
gene-YTHDF3	I	I	I	I	I	I	I	I
gene-LOC119846466	I	UL	I	I	UL	UL	UL	UL
gene-TRIM2	I	I	I	I	I	I	I	I
gene-TJP1	I	I	I	I	UL	I	I	I
gene-TRAPPC13	I	I	I	I	I	I	I	I
gene-GTF2F1	I	I	I	I	I	I	I	I
gene-KAT2B	I	I	I	I	I	I	I	I
gene-MAP3K9	I	I	PI	I	I	I	UL	I
gene-DNAAF2	I	I	I	I	I	UL	I	I
gene-TMEM116	I	I	I	I	I	I	I	I
gene-BIRC7	I	I	I	I	I	I	UL	I
gene-APBA2	I	I	I	I	I	I	I	I
gene-TRABD	I	I	I	I	I	I	I	I
gene-SBNO2	I	I	I	I	I	I	UL	I
gene-SYNDIG1	I	I	I	I	I	I	I	I
gene-LARS2	I	I	PI	I	I	I	I	I
gene-MARK2	I	I	I	I	I	I	UL	I
gene-SLC35F6	I	UL	I	I	I	I	I	I
gene-COPG1	I	I	I	I	I	I	I	I
gene-PACRG	UL	I	I	I	I	I	I	I
gene-GJC1	I	I	I	I	I	I	I	I
gene-MCRIP2	I	I	I	I	I	PI	I	I
gene-SYNJ1	I	I	I	I	I	I	I	I
gene-FRMD1	I	I	I	I	I	I	I	I
