"scaffold","missing.filter","mask.filter","num.windows","perc.orig.windows"
"NC_050068.2",0,0,35446,1
"NC_050069.1",0,0,27271,1
"NC_050070.1",0,0,21217,1
"NC_050071.1",0,0,14653,1
"NC_050072.1",0,0,13757,1
"NC_050073.1",0,0,13113,1
"NC_050074.1",0,0,12765,1
"NC_050075.1",0,0,10930,1
"NC_050076.1",0,0,10522,1
"NC_050077.1",0,0,8648,1
"NC_050078.2",0,0,8003,1
"NC_050079.1",0,0,4425,1
"NC_050080.1",0,0,4116,1
"NC_050081.1",0,0,4003,1
"NC_050082.1",0,0,3320,1
"NC_050083.1",0,0,2641,1
"NC_050084.1",0,0,2543,1
"NC_050085.1",0,0,2367,1
"NC_050086.2",0,0,2003,1
"NC_050087.2",0,0,1921,1
"NC_050088.1",0,0,1886,1
"NC_050089.1",0,0,1875,1
"NC_050090.1",0,0,1723,1
"NC_050091.1",0,0,1696,1
"NC_050092.1",0,0,1648,1
"NC_050093.1",0,0,1648,1
"NC_050094.1",0,0,1630,1
"NC_050095.1",0,0,674,1
"NC_050068.2",0,1,12916,0.364385262088811
"NC_050069.1",0,1,9245,0.339004803637564
"NC_050070.1",0,1,7252,0.341801385681293
"NC_050071.1",0,1,4497,0.30689961100116
"NC_050072.1",0,1,4158,0.302246129243294
"NC_050073.1",0,1,3838,0.292686646839015
"NC_050074.1",0,1,3015,0.236192714453584
"NC_050075.1",0,1,2520,0.230558096980787
"NC_050076.1",0,1,2483,0.235981752518533
"NC_050077.1",0,1,1739,0.201086956521739
"NC_050078.2",0,1,1818,0.227164813195052
"NC_050079.1",0,1,843,0.190508474576271
"NC_050080.1",0,1,1026,0.249271137026239
"NC_050081.1",0,1,1136,0.283787159630277
"NC_050082.1",0,1,550,0.16566265060241
"NC_050083.1",0,1,502,0.1900795153351
"NC_050084.1",0,1,369,0.145104207628785
"NC_050085.1",0,1,396,0.167300380228137
"NC_050086.2",0,1,388,0.193709435846231
"NC_050087.2",0,1,450,0.234252993232691
"NC_050088.1",0,1,307,0.162778366914104
"NC_050089.1",0,1,220,0.117333333333333
"NC_050090.1",0,1,538,0.312246082414393
"NC_050091.1",0,1,433,0.255306603773585
"NC_050092.1",0,1,295,0.179004854368932
"NC_050093.1",0,1,214,0.129854368932039
"NC_050094.1",0,1,335,0.205521472392638
"NC_050095.1",0,1,436,0.646884272997033
"NC_050068.2",0,2,3622,0.102183603227445
"NC_050069.1",0,2,2455,0.0900223680833119
"NC_050070.1",0,2,1819,0.0857331385209973
"NC_050071.1",0,2,967,0.0659933119497714
"NC_050072.1",0,2,935,0.0679653994330159
"NC_050073.1",0,2,883,0.0673377564249218
"NC_050074.1",0,2,738,0.0578143360752056
"NC_050075.1",0,2,619,0.0566331198536139
"NC_050076.1",0,2,579,0.0550275613001331
"NC_050077.1",0,2,402,0.0464847363552266
"NC_050078.2",0,2,367,0.0458578033237536
"NC_050079.1",0,2,172,0.0388700564971751
"NC_050080.1",0,2,179,0.043488824101069
"NC_050081.1",0,2,299,0.0746939795153635
"NC_050082.1",0,2,117,0.0352409638554217
"NC_050083.1",0,2,115,0.043544112078758
"NC_050084.1",0,2,78,0.0306724341329139
"NC_050085.1",0,2,107,0.0452049007182087
"NC_050086.2",0,2,96,0.0479281078382426
"NC_050087.2",0,2,90,0.0468505986465383
"NC_050088.1",0,2,72,0.0381760339342524
"NC_050089.1",0,2,33,0.0176
"NC_050090.1",0,2,81,0.0470110272780035
"NC_050091.1",0,2,103,0.0607311320754717
"NC_050092.1",0,2,65,0.0394417475728155
"NC_050093.1",0,2,36,0.0218446601941748
"NC_050094.1",0,2,81,0.0496932515337423
"NC_050095.1",0,2,108,0.160237388724036
"NC_050068.2",0,3,1900,0.0536026632060035
"NC_050069.1",0,3,1332,0.0488430933959151
"NC_050070.1",0,3,951,0.0448225479568271
"NC_050071.1",0,3,489,0.0333720057326145
"NC_050072.1",0,3,472,0.0343098059169877
"NC_050073.1",0,3,454,0.0346221307099825
"NC_050074.1",0,3,391,0.0306306306306306
"NC_050075.1",0,3,310,0.0283623055809698
"NC_050076.1",0,3,289,0.0274662611670785
"NC_050077.1",0,3,223,0.025786308973173
"NC_050078.2",0,3,192,0.0239910033737348
"NC_050079.1",0,3,86,0.0194350282485876
"NC_050080.1",0,3,85,0.0206511175898931
"NC_050081.1",0,3,137,0.0342243317511866
"NC_050082.1",0,3,61,0.0183734939759036
"NC_050083.1",0,3,43,0.0162817114729269
"NC_050084.1",0,3,33,0.0129767990562328
"NC_050085.1",0,3,53,0.0223912125052809
"NC_050086.2",0,3,38,0.018971542685971
"NC_050087.2",0,3,32,0.0166579906298803
"NC_050088.1",0,3,35,0.0185577942735949
"NC_050089.1",0,3,12,0.0064
"NC_050090.1",0,3,32,0.0185722576900754
"NC_050091.1",0,3,45,0.0265330188679245
"NC_050092.1",0,3,28,0.0169902912621359
"NC_050093.1",0,3,14,0.00849514563106796
"NC_050094.1",0,3,37,0.0226993865030675
"NC_050095.1",0,3,58,0.086053412462908
"NC_050068.2",0,4,143,0.00403430570445184
"NC_050069.1",0,4,95,0.00348355395841737
"NC_050070.1",0,4,62,0.00292218504029787
"NC_050071.1",0,4,29,0.00197911690438818
"NC_050072.1",0,4,26,0.00188994693610526
"NC_050073.1",0,4,33,0.00251658659345687
"NC_050074.1",0,4,28,0.00219349784567176
"NC_050075.1",0,4,17,0.00155535224153705
"NC_050076.1",0,4,21,0.00199581828549705
"NC_050077.1",0,4,19,0.00219703977798335
"NC_050078.2",0,4,6,0.000749718855429214
"NC_050079.1",0,4,4,0.000903954802259887
"NC_050080.1",0,4,15,0.00364431486880466
"NC_050081.1",0,4,20,0.00499625281039221
"NC_050082.1",0,4,3,0.000903614457831325
"NC_050083.1",0,4,1,0.000378644452858766
"NC_050084.1",0,4,0,0
"NC_050085.1",0,4,3,0.00126742712294043
"NC_050086.2",0,4,1,0.000499251123315027
"NC_050087.2",0,4,3,0.00156168662155128
"NC_050088.1",0,4,1,0.000530222693531283
"NC_050089.1",0,4,0,0
"NC_050090.1",0,4,3,0.00174114915844457
"NC_050091.1",0,4,5,0.00294811320754717
"NC_050092.1",0,4,1,0.000606796116504854
"NC_050093.1",0,4,0,0
"NC_050094.1",0,4,1,0.000613496932515337
"NC_050095.1",0,4,5,0.00741839762611276
"NC_050068.2",0,5,77,0.0021723184562433
"NC_050069.1",0,5,65,0.0023834842873382
"NC_050070.1",0,5,37,0.00174388462082292
"NC_050071.1",0,5,18,0.00122841738893059
"NC_050072.1",0,5,18,0.00130842480191902
"NC_050073.1",0,5,17,0.0012964233966293
"NC_050074.1",0,5,17,0.00133176654915785
"NC_050075.1",0,5,11,0.0010064043915828
"NC_050076.1",0,5,10,0.000950389659760502
"NC_050077.1",0,5,12,0.00138760407030527
